uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count
at://did:plc:iemwqtuqwpucifngg4zouflb/app.bsky.feed.post/3lz24iw5iqc2n,bafyreiedxnfepa6wqonpyhaoqr4cewnldjyeuwfbbbghj5rgmcudsihchy,"Join us for the 2025 Texas State of Enrollment 💻  virtual conference! Connect with assisters around the state who are improving access to Medicaid, CHIP, ACA plans, SNAP, WIC & more.

🗓️ Sept 30–Oct 1
bit.ly/tsoe2025",2025-09-17T15:08:59.532Z,younginvincibles.bsky.social,did:plc:iemwqtuqwpucifngg4zouflb,food insecurity,"""WIC""",search_api,demo_search_test,2025-09-18T14:29:28.137460+00:00,en,Young Invincibles,"Amplifying the voices of young adults in the political process for:

⚕️ Health Care
🎓 Higher Education
🗳️ Civic Engagement
🏦 Workforce & Finance",189,95,53,False,2024-11-18T19:45:02.446Z,https://cdn.bsky.app/img/avatar/plain/did:plc:iemwqtuqwpucifngg4zouflb/bafkreievkbcf5cjchy4f5y7pc6lqoaltxxlpehltyu7szqxud4p35eqdbi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:iemwqtuqwpucifngg4zouflb/bafkreicg3zotcd36uoraoaqxcsjpyazljcarsmaql75kupyabbem6kcdue@jpeg,2025-09-18T14:29:28.137351+00:00,303,0.17491749174917492,1.9894736842105263,40.62,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:28.137452+00:00,2025-09-17T15:09:03.108Z,0.0,0.0,0.0
at://did:plc:2otejz54xcx5es6hskvuv34u/app.bsky.feed.post/3lz2bcfgejs2o,bafyreid4aydomb6ustga2akgxcfiv2abc5da44wql33z22rxghqbub356e,"Nearly empty UM food pantry leaves students hungry

",2025-09-17T16:34:49.260Z,miami.thesocial.news,did:plc:2otejz54xcx5es6hskvuv34u,food insecurity,"""food pantry""",search_api,demo_search_test,2025-09-18T14:29:19.880570+00:00,en,Miami News,https://miami.thesocial.news,13,1,2436,False,2025-09-06T17:57:59.298Z,https://cdn.bsky.app/img/avatar/plain/did:plc:2otejz54xcx5es6hskvuv34u/bafkreib7ddmsyxknrtnq6pucdndm47vlkmyebmbcd7fbwyxxxh3kew3prm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:2otejz54xcx5es6hskvuv34u/bafkreib6vgzcff77saoqdppag7ykl4ljrg5xiurpjnosbcocbftyvvkdkq@jpeg,2025-09-18T14:29:19.880434+00:00,11,221.45454545454547,13.0,11.49,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:19.880549+00:00,2025-09-17T16:34:49.608Z,0.0,0.0,0.0
at://did:plc:47uakj6bpkbzctu62frckopc/app.bsky.feed.post/3lz2djfbrzs24,bafyreialarcywt532vuyzkjr5vwa6jycprwrwxijj4zi3lrpv6yrlfe4uq,Largest food pantry in Berkshire County to hold benefit concert as food insecurity continues to rise,2025-09-17T17:14:31.595Z,wamcradio.bsky.social,did:plc:47uakj6bpkbzctu62frckopc,food insecurity,"""food pantry""",search_api,demo_search_test,2025-09-18T14:29:19.026001+00:00,en,WAMC Northeast Public Radio,WAMC Northeast Public Radio is a regional public radio network serving parts of seven states.,118,8,99,False,2025-01-17T16:28:48.444Z,https://cdn.bsky.app/img/avatar/plain/did:plc:47uakj6bpkbzctu62frckopc/bafkreiggpvd5hvhiprkfnr6xa4u7ey25dsjcwwsixif35gn5nhe437ficy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:47uakj6bpkbzctu62frckopc/bafkreievhsxfudpwkrfg2qphmi37c7snbzpmtqkvx4j7zuh7y2r2vdmghu@jpeg,2025-09-18T14:29:19.025798+00:00,243,0.4074074074074074,14.75,26.72,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:19.025991+00:00,2025-09-17T17:14:34.605Z,0.0,0.0,1.0
at://did:plc:purxtajlwquwquqciwzvhyf5/app.bsky.feed.post/3lz2ft2vyus2w,bafyreick6wolhlmohf7a65obmrfgkkgfjlojjm2onjfxvcsjipgnuacyuy,"Alamogordo Farmers Market – 10 a.m. until sell out or 12 p.m.  Accepts SNAP/EBT, DUFB, WIC, Senior Farmers Market Nutrition Program and Sunbucks for fresh, local produce.  Washington Park, 100 Washington Ave.  Info: 575-446-9450 or alamogordofarmersmarket@gmail.com",2025-09-17T17:55:43.751Z,bluegirldogmom.bsky.social,did:plc:purxtajlwquwquqciwzvhyf5,food insecurity,"""WIC""",search_api,demo_search_test,2025-09-18T14:29:26.592780+00:00,en,Callie and Tilly's mom,"Book lover, knitter, gardener and proud ""nasty woman"" living in NM.",128,217,318,False,2025-02-09T15:49:43.244Z,https://cdn.bsky.app/img/avatar/plain/did:plc:purxtajlwquwquqciwzvhyf5/bafkreicwewtl5telb6nhf7rrzktrlicsjwrwxyburpjkjrpyuy2bebbu24@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:purxtajlwquwquqciwzvhyf5/bafkreid6v7ctw23237kuezvdo6mr55xadsnazp53kboqbyujxie67e5i34@jpeg,2025-09-18T14:29:26.592502+00:00,220,1.4454545454545455,0.5898617511520737,23.12,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:26.592764+00:00,2025-09-17T17:55:44.004Z,0.0,0.0,1.0
at://did:plc:kjpbgyglqinedpmhhncobptf/app.bsky.feed.post/3lz2kyspjyf2k,bafyreidwer5rrjejjcc4vik32zkzwuap7vj2i4hv4jarjuzvekl5nus2si,"One in three French people can't afford three meals a day. How can we help those in need? Let's make a difference! #FoodInsecurity

https://uk.news.yahoo.com/charity-warns-one-three-french-091429525.html",2025-09-17T19:28:24.951778Z,uk-charity.bsky.social,did:plc:kjpbgyglqinedpmhhncobptf,food insecurity,#foodinsecurity,search_api,demo_search_test,2025-09-18T14:29:07.426745+00:00,en,UK Charity News,Follow for hourly news on UK Charities,432,247,12669,False,2024-11-27T18:31:49.944Z,https://cdn.bsky.app/img/avatar/plain/did:plc:kjpbgyglqinedpmhhncobptf/bafkreihdiiivbgni3h6c4u4njyyeknwvzrvd6w2nkmxnzdbalbfhhkq5ji@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:kjpbgyglqinedpmhhncobptf/bafkreian2gj7327h22klgbrqqqwi5zsczey5h3re2nlrdopbepuh7nzv7i@jpeg,2025-09-18T14:29:07.426623+00:00,294,43.09183673469388,1.7489878542510122,26.54,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:07.426734+00:00,2025-09-17T19:28:25.404Z,0.0,0.0,0.0
at://did:plc:havvs3uvgrhmw5nbj6dk6z4p/app.bsky.feed.post/3lz2oplaeys2t,bafyreiammicood4c3fudusb2ddrepijnv6ksmaw54lfcykgp4e7pq6jdtu,"The Ubisoft San Francisco office hosted a Rise Against Hunger event where we packed 15,000 meals for food insecure children. We were all happy to help!",2025-09-17T20:34:50.317Z,seanlama.bsky.social,did:plc:havvs3uvgrhmw5nbj6dk6z4p,food insecurity,"""food insecure""",search_api,demo_search_test,2025-09-18T14:29:03.620712+00:00,en,Sean Lama,Superhero Dad. Games publishing at Ubisoft. Small business owner / investor. SF Bay Area native still gettin hyphy out here.,322,435,75,False,2024-10-18T15:37:03.712Z,https://cdn.bsky.app/img/avatar/plain/did:plc:havvs3uvgrhmw5nbj6dk6z4p/bafkreichoislrx3y2thanrpkmeonmtjde7dbwdugdupr5g5bihmgak5vse@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:havvs3uvgrhmw5nbj6dk6z4p/bafkreihs7zljta7pwgcbic7z4yps6xeafc644gazdtaweqeb4h6mrjwuey@jpeg,2025-09-18T14:29:03.620619+00:00,334,0.2245508982035928,0.7402298850574712,46.56,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:03.620703+00:00,2025-09-17T20:34:57.602Z,1.0,0.0,3.0
at://did:plc:reks23ovxdywujvwml5rl32i/app.bsky.feed.post/3lz2sbu57yk2j,bafyreigqcnpzeem2dlyrujohnrtqjvdi2cqpbglla4mpdupixz2cnbxa54,"Nobody in my family ever used EBT, WIC, or unemployment. I was a single mom and scraped by without. These safety nets are what a decent society give. Now we're in a place that you are shamed.   Anyway...it was insightful for me today.",2025-09-17T21:38:44.858Z,klr6773.bsky.social,did:plc:reks23ovxdywujvwml5rl32i,food insecurity,"""WIC""",search_api,demo_search_test,2025-09-18T14:29:25.725279+00:00,en,Kelly R,"Jersey born Oregonian. U of O 🦆 Mom. 🏳️‍🌈♊️ married 17 yrs. NY Giants, New York Yankees fan.  Mom to 6 dogs & 3 cats.  "" Work hard, vacation often"".  Back into management, after 20 yrs of swearing that I never would. Putting kids through college does that!",270,201,1008,False,2025-01-11T01:31:57.845Z,https://cdn.bsky.app/img/avatar/plain/did:plc:reks23ovxdywujvwml5rl32i/bafkreihk6u3zewyplx6nlotmitkjjrvbiv4diz7ctkpphhkhw55b4ay6g4@jpeg,,2025-09-18T14:29:25.725183+00:00,250,4.032,1.3432835820895523,25.67,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:25.725271+00:00,2025-09-17T21:38:45.745Z,0.0,0.0,0.0
at://did:plc:afxc6locdkxx3dxqgiczqbi6/app.bsky.feed.post/3lz2zvhvigs24,bafyreihz42japbs3b6yn7av24kx3hs3ot4stnuch4ldr3pc7janomlqpze,"Help End Hunger Today & keep food bank shelves stocked! Donate to Feeding America! 

give.feedingamerica.org/V8LCV0zq80KX...

#Activism #Activists #Food #FoodInsecurity #Hunger #FeedingAmerica #TakeAction #Donate #MakeADonation",2025-09-17T23:54:59.311Z,b2o6n4.bsky.social,did:plc:afxc6locdkxx3dxqgiczqbi6,food insecurity,#foodinsecurity,search_api,demo_search_test,2025-09-18T14:29:07.141347+00:00,en,Woke Not Broke 🇺🇸🏳️‍🌈,"Gay man......GQ Magazine Insider #Politics #Equality #LGBTQ #Climate #Animals #Recycling #Photographs #Mentalhealth #MensHealth #SexualHealth #MensStyle  
🇺🇸🏳️‍🌈✊🏻✊🏼✊🏽✊🏾✊🏿",1810,1128,18746,False,2023-12-18T23:09:50.043Z,https://cdn.bsky.app/img/avatar/plain/did:plc:afxc6locdkxx3dxqgiczqbi6/bafkreiccm3ysxgxezclsjiw347i533lyx5lmmlzxravajevnajnwnp4r3y@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:afxc6locdkxx3dxqgiczqbi6/bafkreieiptx4ugkjpukjfghshkix5dekpe5xljamcdjipfgv3mujsmeamq@jpeg,2025-09-18T14:29:07.141245+00:00,639,29.336463223787167,1.6046099290780143,33.06,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:07.141338+00:00,2025-09-17T23:55:06.412Z,0.0,0.0,0.0
at://did:plc:odkic7cpxzqtigd7nng4523a/app.bsky.feed.post/3lz34ou6k4s2l,bafyreidfhidqu3vcmzhzfy2mspfpkvhpuz53lyj2kd7hl7utuwkw62ovge,"I'm actually only alive rn thanks to programs like SNAP and WIC that help to provide food for children living in poverty. If it weren't for those programs, I likley would've starved as a child.",2025-09-18T00:44:58.536Z,angrygoose.ruins.party,did:plc:odkic7cpxzqtigd7nng4523a,food insecurity,"""WIC""",search_api,demo_search_test,2025-09-18T14:29:25.553555+00:00,en,J🪿🔪,"Coffee addict, cat lover, certified crashout

25 | 💍 | ♏️ | 🌈 | 🍃 | mdni",1967,535,7249,False,2025-01-19T05:40:49.844Z,https://cdn.bsky.app/img/avatar/plain/did:plc:odkic7cpxzqtigd7nng4523a/bafkreifi27iyfxpbq44n27hqata7kc5h7cce2quwhuygs2ie6ruvbhqpqu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:odkic7cpxzqtigd7nng4523a/bafkreidz3lerfhwuoakefaxsqc6iearhe3e3k44l43tfdqyakaxd4ruiki@jpeg,2025-09-18T14:29:25.553466+00:00,242,29.954545454545453,3.6766355140186917,34.3,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:25.553545+00:00,2025-09-18T00:44:59.606Z,0.0,0.0,12.0
at://did:plc:vkof5vekxqwszf7fbbxjj4qn/app.bsky.feed.post/3lz3bgjmys62u,bafyreigxnjdojjypxnmfnh5l2cmxieaoo2ouvvj3lczbng6tuosyke22je,Cina Ancam Tutup Produsen Bahan Baku Panel Surya yang Tak Penuhi Standar EBT - https://katadata.co.id/ekonomi-hijau/energi-baru/68cb681b8e39f/cina-ancam-tutup-produsen-bahan-baku-panel-surya-yang-tak-penuhi-standar-ebt,2025-09-18T02:09:47.296Z,katadata-poster.bsky.social,did:plc:vkof5vekxqwszf7fbbxjj4qn,food insecurity,"""EBT""",search_api,demo_search_test,2025-09-18T14:29:24.184878+00:00,id,Katadata.co.id,"Unofficial account. Otomatis posting via RSS.

Maintained by @danni.id",104,1,22892,False,2024-09-18T06:41:40.806Z,https://cdn.bsky.app/img/avatar/plain/did:plc:vkof5vekxqwszf7fbbxjj4qn/bafkreidsmx6ngidfa5gt4e4gav4gkkznutibkw654kwoo7izuo5ehiyl4q@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:vkof5vekxqwszf7fbbxjj4qn/bafkreifizrg44sw6mx5ahklyuxivwh6ve4kkr27rechmsjgttsgvew3vwq@jpeg,2025-09-18T14:29:24.184763+00:00,365,62.71780821917808,104.0,20.23,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:24.184869+00:00,2025-09-18T02:09:48.404Z,0.0,0.0,0.0
