uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,author_fetch_error
at://did:plc:g4hdmopd435d6hu6ydjq2oms/app.bsky.feed.post/3lyvbgnqhwk2j,bafyreiadkluby3adwyfwqp2qblltylrtkun6hascm3wjgn7vvb3zhcgwoq,"Over decades, ST has tackled racism, gender inequality, war crimes, colonialism and many other contemporary issues.",2025-09-15T16:53:53.627Z,pastorjason666.bsky.social,did:plc:g4hdmopd435d6hu6ydjq2oms,gender inequality,"""gender inequality""",search_api,session_20250918_125053,2025-09-18T17:18:46.600053+00:00,en,✝️ Aussie_PJ 💜,"Pastor Jason
⛔️ I block DMs
🧠 #BipolarSky
💜 Dad of neurodivergent & LGBT+ kids
🫡 Aussie Army vet
✝️ Woke Christian Pastor
😻 Cats, dog, rabbit & chooks
🚀 SciFi & Fantasy fan
🏉🏏 Disability footy & cricket coach
⚓️ Fremantle Dockers AFL
🚫 No fan of 🍊🤡",25593,43901,2883,False,2024-11-12T12:29:41.902Z,https://cdn.bsky.app/img/avatar/plain/did:plc:g4hdmopd435d6hu6ydjq2oms/bafkreicnhnr6zvhzq3hhrketft2d7gr227ife2xbi3d2res4pduyld7jly@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:g4hdmopd435d6hu6ydjq2oms/bafkreibavcev3dbrbcvvic65xs43ttfsflu7gy3chttik3cyi7otyuspta@jpeg,2025-09-18T17:18:46.599960+00:00,310,9.3,0.5829707751531856,88.47,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:18:46.600045+00:00,2025-09-15T16:53:55.105Z,2.0,0.0,0.0,
at://did:plc:sv6wpqjumnor45vw5uj3qu5k/app.bsky.feed.post/3lyvbn365e22w,bafyreianhhjz76cp2qayotmutonzgjfpfurchbnzvolwjltsmkqbwyjega,"I don’t really know what you want me to say here. I never said it was a guarantee and it’s definitely bad for the cause that Kirk’s views might be getting normalized but I think the fact that the gender gap is this wide and widening is an indicator that all isn’t lost, not the opposite.",2025-09-15T16:57:29.030Z,wu4america.bsky.social,did:plc:sv6wpqjumnor45vw5uj3qu5k,gender inequality,"""gender gap""",search_api,session_20250918_125053,2025-09-18T17:18:54.282647+00:00,en,Michelle Wu for President,"Not affiliated with Mayor Wu in any way, just really wish she were President!",60,37,765,False,2025-06-10T00:45:23.141Z,https://cdn.bsky.app/img/avatar/plain/did:plc:sv6wpqjumnor45vw5uj3qu5k/bafkreidfy74yn5uffrb4ik3ji4tfd4uac42yvbizodugqeqzy7bbvnmmk4@jpeg,,2025-09-18T17:18:54.282503+00:00,100,7.65,1.6216216216216217,18.25,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:18:54.282637+00:00,2025-09-15T16:57:29.707Z,1.0,0.0,0.0,
at://did:plc:wvs2yd7ayth6pdyanias75py/app.bsky.feed.post/3lyvbsajuow2m,bafyreihrln3hw5qpja7wfygab7t5drma5jrviia4spvdyto2zinggovkeq,"For the first time since data has been available going back to the 1960s, the gender pay gap widened for a second year in a row.",2025-09-15T17:00:22Z,cnbcmakeit.cnbc.com,did:plc:wvs2yd7ayth6pdyanias75py,gender inequality,"""pay gap""",search_api,session_20250918_125053,2025-09-18T17:19:13.337466+00:00,en,CNBC Make It,"Helping you be smarter and more successful with your money, work & life.",304,70,1861,False,2024-11-19T16:25:32.804Z,https://cdn.bsky.app/img/avatar/plain/did:plc:wvs2yd7ayth6pdyanias75py/bafkreiab7pd65sfrxilxm6jtahx5kd3ttqc5wgxkjcfrn7dpepyruw7cf4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:wvs2yd7ayth6pdyanias75py/bafkreicy77znno246sekripui2xm25zrptbzunfs72rd5hhmmwxkntmnhu@jpeg,2025-09-18T17:19:13.337374+00:00,303,6.141914191419142,4.3428571428571425,25.66,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:19:13.337456+00:00,2025-09-15T17:00:23.407Z,0.0,0.0,0.0,
at://did:plc:l4r5k4juczgu57eo2qadtn55/app.bsky.feed.post/3lyvcdslak22y,bafyreif3dvszcar4hjyim3zadkzzaj3yhartvetobof3fwqmglni2aip54,'Twas always thus. There are pricks on both sides of the gender gap.,2025-09-15T17:10:11.776Z,oldsalt946.bsky.social,did:plc:l4r5k4juczgu57eo2qadtn55,gender inequality,"""gender gap""",search_api,session_20250918_125053,2025-09-18T17:18:54.136609+00:00,en,Old Salt,"Retired Navy, retired Correction Officer, retired VA. Progressive resister. Committed ANTIFA! I retired to my forever home, ageing gracefully in the beautiful north woods of Minnesota. If God ever retires, I'm pretty sure this is where he'll come.",4546,1727,6133,False,2024-12-03T20:31:04.746Z,https://cdn.bsky.app/img/avatar/plain/did:plc:l4r5k4juczgu57eo2qadtn55/bafkreiawu247wwmcsdi75ngcnytm2hahlkomvbgzdevavoqgxtaqud7vwi@jpeg,,2025-09-18T17:18:54.136518+00:00,288,21.29513888888889,2.6323103647944412,40.28,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:18:54.136601+00:00,2025-09-15T17:10:18.408Z,0.0,0.0,0.0,
at://did:plc:o45khp44qw3pfl7qfxq63az2/app.bsky.feed.post/3lyvdorb5cc25,bafyreieqyyj7hyoz6og7xx6lurwwrnet5yivcofn6tmqezjjmzogslpioy,"Sounds like Robert Reich & others. The Pope has good financial advisors. 

Pope Leo said “we’re in big trouble” when it comes to the ever-widening pay gap between the rich and poor, citing Elon Musk, who may be on course to become the world’s first trillionaire. l.smartnews.com/p-6cXrGFq0/D...",2025-09-15T17:34:13.236Z,dovewoman.bsky.social,did:plc:o45khp44qw3pfl7qfxq63az2,gender inequality,"""pay gap""",search_api,session_20250918_125053,2025-09-18T17:19:12.504422+00:00,en,Dovewoman   💙 🇺🇦 💙,"I follow politics #BlueCrew #StrongerTogether #VOTEBlue
I Support 🇺🇦Ukraine 🇺🇦
I Post for animals in kill shelters 

#StrongerTogether
#BlueCrew
#NoKings
#BlueDotinaRedState
#NAFOCatsDivision",21248,6350,11071,False,2024-11-10T04:16:09.084Z,https://cdn.bsky.app/img/avatar/plain/did:plc:o45khp44qw3pfl7qfxq63az2/bafkreid7uhuvrbfvsucszuaktkifwvikr5cmm4gii3osbolnqowuz2dysm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:o45khp44qw3pfl7qfxq63az2/bafkreibb34clqsefyiw2z7c27d3izleyjycyxrnbj634c2topk4yw4xiuy@jpeg,2025-09-18T17:19:12.504306+00:00,312,35.48397435897436,3.346141732283465,52.87,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:19:12.504412+00:00,2025-09-15T17:34:16.011Z,0.0,0.0,6.0,
at://did:plc:5bqa7h6fil4jnuwinfxqasci/app.bsky.feed.post/3lyvfcd2g2s2g,bafyreifmugr2bi5ule5qwcehut7ogsxggxxgsssu6xkyjwubwdyby7gzae,"In the decade after a birth, on average new moms move to progressively lower-paying companies--with implications for the gender wage gap. Read our article on new findings by Institute visiting scholar @btimpe.bsky.social w/ @rebecca-jack.bsky.social & Danny Tannenbaum bit.ly/4mONNvK",2025-09-15T18:03:03.166Z,oiginstitute.bsky.social,did:plc:5bqa7h6fil4jnuwinfxqasci,gender inequality,"""wage gap""",search_api,session_20250918_125053,2025-09-18T17:19:15.930827+00:00,en,Opportunity & Inclusive Growth Institute,The Opportunity & Inclusive Growth Institute at the Minneapolis Fed supports research to expand economic opportunity and inclusive growth for all. Reposts ≠ endorsement.,302,126,144,False,2024-12-16T15:25:12.042Z,https://cdn.bsky.app/img/avatar/plain/did:plc:5bqa7h6fil4jnuwinfxqasci/bafkreih5dvixvybyauysxvwnpih57aoqz76ty2czzqnvb3nw7bccz6pbhe@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:5bqa7h6fil4jnuwinfxqasci/bafkreigwaqntjirvauozmayogyupiks5cyfwv4tbu6vkldmsgwhegveo7m@jpeg,2025-09-18T17:19:15.930615+00:00,276,0.5217391304347826,2.3968253968253967,35.3,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:19:15.930811+00:00,2025-09-15T18:03:05.603Z,0.0,0.0,0.0,
at://did:plc:jjheidmljqrsatjic4e6hmm2/app.bsky.feed.post/3lyvh3yoary2c,bafyreiagsd7eouof4ckv7xket2l7c2uhpc4ix7lmvdemcikdxuxpgvebmu,"The gender gap isn’t just statistics, it’s fuel for fascism. Young women surge toward independence, while insecure men stew in manosphere grievance factories. That resentment curdles into MAGA, Groypers, and violence like Kirk’s killing.",2025-09-15T18:35:17.000Z,patriotprogressive.bsky.social,did:plc:jjheidmljqrsatjic4e6hmm2,gender inequality,"""gender gap""",search_api,session_20250918_125053,2025-09-18T17:18:53.940371+00:00,en,tomwellborn3rd,"News, politics, science, pets! 🌊🌊

💙",20164,1654,23881,False,2024-10-09T09:17:31.708Z,https://cdn.bsky.app/img/avatar/plain/did:plc:jjheidmljqrsatjic4e6hmm2/bafkreibcnyifrqriij4sodkehxwy4abhwvq7kr5sdlrx6qp5dhdefgeo7m@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:jjheidmljqrsatjic4e6hmm2/bafkreidp7jg3jjsifyseecxvstndks2stk2wkaxcexzy2hd67uract2mky@jpeg,2025-09-18T16:54:10.730752+00:00,344,69.42151162790698,12.19105199516324,47.27,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:18:53.940364+00:00,2025-09-15T18:35:19.308Z,0.0,0.0,5.0,
at://did:plc:w4hajki3oqfw2vh4qefycdju/app.bsky.feed.post/3lyvl4a2q722p,bafyreigbwpqk2fanvrudbqkdxdwyzl4k2arkwbmwg2y5lvlsrjetr42zua,"To hear men tell it, they are in charge because they're better than women at pretty much everything. All that confidence and Type A testosterone and they're still too insecure to close the gender gap.",2025-09-15T19:47:01.156Z,jashead.bsky.social,did:plc:w4hajki3oqfw2vh4qefycdju,gender inequality,"""gender gap""",search_api,session_20250918_125053,2025-09-18T17:18:53.940251+00:00,en,jashead,"I was a director of film/tv, tired and retired. NO INVESTMENT of any kind, but especially no crypto!
If you’re looking for money, I suggest you try asking someone who has some.

https://m.imdb.com/name/nm0372138/",13906,24519,6125,False,2023-09-09T00:56:28.313Z,https://cdn.bsky.app/img/avatar/plain/did:plc:w4hajki3oqfw2vh4qefycdju/bafkreig3afzxxe4ze74ohoto5sn7ueqhmoem7ywo3sdhhdzibqfrm6fc6u@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:w4hajki3oqfw2vh4qefycdju/bafkreid5cxbs3s4xlhr6d4t3ue6xj6g4jztdmtz7ju2tup5milvx5gz5ua@jpeg,2025-09-18T17:18:53.940164+00:00,740,8.277027027027026,0.5671520045678862,52.78,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:18:53.940241+00:00,2025-09-15T19:47:05.912Z,0.0,0.0,1.0,
at://did:plc:qzlnfdmhzbch45seo5aysdkh/app.bsky.feed.post/3lyvmhxipn22f,bafyreic47tnftvye2lcojkbe2vitmbmmq5gisk4kariebiignogc6ot66i,"Religion encourages intolerance, fear, judgment, discrimination, gender inequality, homophobia, racism, and hate. The one thing it does not encourage is CRITICAL THINKING.",2025-09-15T20:11:28.573Z,eastman9125.bsky.social,did:plc:qzlnfdmhzbch45seo5aysdkh,gender inequality,"""gender inequality""",search_api,session_20250918_125053,2025-09-18T17:18:46.428582+00:00,en,EASTMAN,"Liberal Dem. Vegetarian
Atheist. LGBTQIA+ ally
Science. Terrier rescuer
I write and post about 
religion and politics.",30340,98103,143,False,2025-03-02T17:36:30.945Z,https://cdn.bsky.app/img/avatar/plain/did:plc:qzlnfdmhzbch45seo5aysdkh/bafkreifrg6dxwn26nzwamx74vgzreo63bm4764lsex3uvquy7xjkm36x5q@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:qzlnfdmhzbch45seo5aysdkh/bafkreicrgko4vkwhdaqrkzlsm4j7mvlsboojibfqgmapzcetke4lyl5lqe@jpeg,2025-09-18T17:18:46.428465+00:00,199,0.7185929648241206,0.30926679102575866,94.82,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:18:46.428573+00:00,2025-09-15T20:11:29.103Z,0.0,4.0,23.0,
at://did:plc:7p6w4wuijxq7f2bdtcnpk2gf/app.bsky.feed.post/3lyvmjiyuyk2v,bafyreib5ulwqb7jd5vpr2c4eo6hdnopfusbeov3iidwzbmiqvmmx4tclwu,This looks like a pretty normal gender gap to me...,2025-09-15T20:12:20.483Z,nbeaudrot.bsky.social,did:plc:7p6w4wuijxq7f2bdtcnpk2gf,gender inequality,"""gender gap""",search_api,session_20250918_125053,2025-09-18T17:18:53.753223+00:00,en,Mr. Nick Beaudrot,"Math Dad.
Aspiring-to-comeback Triathlete.
Fall Out Boy apologist.",726,111,6931,False,2023-07-01T20:26:48.180Z,https://cdn.bsky.app/img/avatar/plain/did:plc:7p6w4wuijxq7f2bdtcnpk2gf/bafkreibjrgisce26z44emvyjgvuk7wizauqmajq6nzyyha45wl4i6qs66u@jpeg,,2025-09-18T17:18:53.753132+00:00,809,8.567367119901112,6.54054054054054,29.14,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:18:53.753215+00:00,2025-09-15T20:12:20.902Z,0.0,0.0,0.0,
at://did:plc:77qcluyaxmu56in6435due56/app.bsky.feed.post/3lyvmynkiok25,bafyreign5tv7hvzmpjyfz6ab3ztrdekorvah5cqh73xr3uacce7mglup2i,UK gender pay gap begins at graduation as women are quickly out-earned - on.ft.com/41V9m5Z via @FT,2025-09-15T20:20:48.570Z,hithwen.bsky.social,did:plc:77qcluyaxmu56in6435due56,gender inequality,"""pay gap""",search_api,session_20250918_125053,2025-09-18T17:19:12.358650+00:00,en,Hîthwen,non trivial way,108,354,450,False,2023-10-27T08:41:54.706Z,https://cdn.bsky.app/img/avatar/plain/did:plc:77qcluyaxmu56in6435due56/bafkreiaua7ltmfl2fe2ek6keq4g6jvcg6ijm5ggv7e5cvabbibpml33lgq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:77qcluyaxmu56in6435due56/bafkreie4qkipnuqelqbagqhbp2q77nvewmye46rhc4flwlhsjs7gkdrtga@jpeg,2025-09-18T17:19:12.358551+00:00,692,0.6502890173410405,0.3050847457627119,21.57,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T17:19:12.358642+00:00,2025-09-15T20:20:51.406Z,0.0,0.0,0.0,
