uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count
at://did:plc:bdbqwryisfybanz4zenfst3z/app.bsky.feed.post/3lz25a66zz22e,bafyreigglulmhthgvuuiuhxrargsxnoibkfnvd2o4ajw4w57tkrghikruu,"Picked up a Pyrenees mix off the street, sleeping question and free the whole story! 

#GreatPyrenees #DogLovers #PyrLife #FluffyFriends #CanineCompanions #DogAdventures",2025-09-17T15:21:59.724Z,great-pyrenees.bsky.social,did:plc:bdbqwryisfybanz4zenfst3z,homeless,"""street sleeping""",search_api,demo_search_test,2025-09-18T14:30:25.754834+00:00,en,Great Pyrenees,One of my absolutely favorite!,503,644,267,False,2025-03-16T09:43:13.045Z,https://cdn.bsky.app/img/avatar/plain/did:plc:bdbqwryisfybanz4zenfst3z/bafkreidwoh7zwu6k25b2i3li4inelmvqrkrh7hzrxyl2q6jgts2ubyzei4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:bdbqwryisfybanz4zenfst3z/bafkreidwoh7zwu6k25b2i3li4inelmvqrkrh7hzrxyl2q6jgts2ubyzei4@jpeg,2025-09-18T14:30:25.754722+00:00,186,1.435483870967742,0.781055900621118,36.44,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:25.754824+00:00,2025-09-17T15:22:03.712Z,0.0,0.0,4.0
at://did:plc:t4mgdky5wssw5ll536cwsn2o/app.bsky.feed.post/3lz2l4q2wy222,bafyreigaz2nast4tjwlwyyv4fxsjkiq47lctkaj2xh3bvz22a23xnbe2b4,The tragedy that Mr.Fateh is referring to happened two days ago. I know that it barely made a blip in the MSM but two homeless encampments were attacked by a an active shooter. This was days after the infamous remark by Fox News host Brian Kilmeade.,2025-09-17T19:30:36.622Z,bunnylove403.bsky.social,did:plc:t4mgdky5wssw5ll536cwsn2o,homeless,"""housing first""",search_api,demo_search_test,2025-09-18T14:30:30.566208+00:00,en,Ms. Ivette 🕯☽ ⛤ 🔮🖤,"✨Live. Love. Lower The Cost Of Living✨
https://linktr.ee/bunnylove403",4898,3451,11985,False,2023-09-22T01:16:52.141Z,https://cdn.bsky.app/img/avatar/plain/did:plc:t4mgdky5wssw5ll536cwsn2o/bafkreicsvjkdzx7b75a55wpz6mzucunblr5zve4jquu5qu7algy5h32ftq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:t4mgdky5wssw5ll536cwsn2o/bafkreihpsu67uxzbgsgbj55asc26isbvkbtp6pvqobjzjmhbhlbnqaecam@jpeg,2025-09-18T14:30:30.566034+00:00,727,16.485557083906464,1.4192987539843525,38.94,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:30.566188+00:00,2025-09-17T19:30:39.307Z,0.0,2.0,2.0
at://did:plc:guihbjtij2nljdzubtgzikeh/app.bsky.feed.post/3lz2rkrx4sb2w,bafyreievpfm7fbabfeidngtifxfw2eaemdjt6b3dz3hjpb6d6sex742lna,"Over 10,000 children in Scotland are trapped in temporary accommodation, and a record number of people are rough sleeping - in response the Scottish Government's Housing Secretary blames everyone but her own administration.",2025-09-17T21:25:50.664Z,scottishdailyexpress.co.uk,did:plc:guihbjtij2nljdzubtgzikeh,homeless,"""rough sleeping""",search_api,demo_search_test,2025-09-18T14:30:18.808527+00:00,en,,,39,1,7922,False,2024-11-19T13:59:34.205Z,https://cdn.bsky.app/img/avatar/plain/did:plc:guihbjtij2nljdzubtgzikeh/bafkreicgkisf26jj7iwiji27h7ugwb5in763bcg23urxmhorep3imbjo6i@jpeg,,2025-09-18T14:30:18.808379+00:00,303,26.145214521452147,39.0,16.05,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:18.808511+00:00,2025-09-17T21:25:50.908Z,0.0,0.0,0.0
at://did:plc:gtxngg4s7tp2kc666oiqnabq/app.bsky.feed.post/3lz326rxmsk2u,bafyreieryifuwrjiik7rkjocdeuk3jrp2g4cvu7uyhhh4tkliqtzwsvez4,"“Frey has failed, and it is time for an aggressive, housing-first approach that treats the unhoused as clients and a symptom of bigger problems, rather than as the problem themselves.”

buff.ly/uwlmn98",2025-09-18T00:00:10.418Z,mplsforthemany.com,did:plc:gtxngg4s7tp2kc666oiqnabq,homeless,"""housing first""",search_api,demo_search_test,2025-09-18T14:30:28.924683+00:00,en,Minneapolis for the Many,"Building a Minneapolis for the many, not the few. Join us at www.mplsforthemany.com",2640,289,755,False,2024-08-05T18:23:52.773Z,https://cdn.bsky.app/img/avatar/plain/did:plc:gtxngg4s7tp2kc666oiqnabq/bafkreidyyhoz6df3nyv335q4kb6tpegvt7yqsz6t6wuae5cnmve5qf5nfi@jpeg,,2025-09-18T14:30:28.924563+00:00,408,1.8504901960784315,9.134948096885813,51.7,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:28.924673+00:00,2025-09-18T00:00:12.606Z,0.0,3.0,4.0
at://did:plc:gsxz4ruo2pxqqvcb7ytk62cs/app.bsky.feed.post/3lz32habd6k2z,bafyreihheo26vtefytgho5iash2ovnggi366lfzezq3gdnd33njqpj7jki,"Great.
2 billion should be enough to build an apartment for every homeless!
Finland housing first program uses the state construction company. 
Maybe a CCC program that gives people jobs and skills would keep contractors from charging 750k per apartment for homeless.",2025-09-18T00:04:55.290Z,ccc333-05.bsky.social,did:plc:gsxz4ruo2pxqqvcb7ytk62cs,homeless,"""housing first""",search_api,demo_search_test,2025-09-18T14:30:28.021138+00:00,en,,,87,5,2730,False,2025-08-19T15:22:24.097Z,https://cdn.bsky.app/img/avatar/plain/did:plc:gsxz4ruo2pxqqvcb7ytk62cs/bafkreigaatxkho2i2aq5secseogqsgbsyfwxikj7ezjljo3qlehlvtbrsy@jpeg,,2025-09-18T14:30:28.021031+00:00,29,94.13793103448276,17.4,19.6,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:28.021120+00:00,2025-09-18T00:04:56.611Z,0.0,0.0,0.0
at://did:plc:afm2fw4lxhm7vkv3fb7axe6y/app.bsky.feed.post/3lz3ariwaas2k,bafyreifolev5kygtxne2xow5mwunqpwz3akmtjfu3hozojlctjm4enprba,"You good Christians on FOXnews Its in TRUMPs bible""Go and kill all those bad people""DON'T TRYthat Evil countryFinland has reduced a lot of homelessness by having policies called Housing First,which have the principle that everyone is entitled to a place to live.I likeFinland I know I'm going to hell",2025-09-18T01:58:02.357Z,ejcon3.bsky.social,did:plc:afm2fw4lxhm7vkv3fb7axe6y,homeless,"""housing first""",search_api,demo_search_test,2025-09-18T14:30:27.123070+00:00,en,,,1145,2284,2383,False,2025-06-12T21:27:32.041Z,https://cdn.bsky.app/img/avatar/plain/did:plc:afm2fw4lxhm7vkv3fb7axe6y/bafkreihm2tcvgdszoa62y7lhoioyvxhi4rd6i6c5wq3zsozyweneyswlou@jpeg,,2025-09-18T14:30:27.122905+00:00,97,24.567010309278352,0.5013134851138353,32.99,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:27.123064+00:00,2025-09-18T01:58:03.606Z,1.0,0.0,1.0
at://did:plc:afm2fw4lxhm7vkv3fb7axe6y/app.bsky.feed.post/3lz3fk3zwsc2q,bafyreib6jhx2ygpzmcy7j72sjreirfzqyhtp7xv2b3amnznwkisjci6spe,"You good Christians Jesus said It in TRUMPs bible""Go and kill all those bad people""DON'T TRYthat Evil countryFinland has reduced a lot of homelessness by having policies called Housing First,which have the principle that everyone is entitled to a place to live.I likeFinland I know I'm going to hell",2025-09-18T03:23:22.677Z,ejcon3.bsky.social,did:plc:afm2fw4lxhm7vkv3fb7axe6y,homeless,"""housing first""",search_api,demo_search_test,2025-09-18T14:30:27.123010+00:00,en,,,1145,2284,2383,False,2025-06-12T21:27:32.041Z,https://cdn.bsky.app/img/avatar/plain/did:plc:afm2fw4lxhm7vkv3fb7axe6y/bafkreihm2tcvgdszoa62y7lhoioyvxhi4rd6i6c5wq3zsozyweneyswlou@jpeg,,2025-09-18T14:30:27.122905+00:00,97,24.567010309278352,0.5013134851138353,32.99,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:27.123001+00:00,2025-09-18T03:23:23.410Z,0.0,0.0,0.0
at://did:plc:35hlga5tv77ui7jsm7ytvyz5/app.bsky.feed.post/3lz3ye7mplk2s,bafyreibni55vqao64tza2o2fz7id3ndxleolewknnyqc7b7f5224pq22i4,Exactly this. @foxnews.com.web.brid.gy hosts can call for #politicalviolence against #Democrats and for the #massmurder of the #homeless population but a #comedian can make a joke about #OrangeHitler.,2025-09-18T09:00:06.205Z,ttvkarlbannsonr.bsky.social,did:plc:35hlga5tv77ui7jsm7ytvyz5,homeless,#homeless,search_api,demo_search_test,2025-09-18T14:30:14.829156+00:00,en,,,369,119,1173,False,2025-01-12T20:52:06.344Z,https://cdn.bsky.app/img/avatar/plain/did:plc:35hlga5tv77ui7jsm7ytvyz5/bafkreibsikbiv3fhnkhpikvjcy7gwdjdwfhyb3l2qqqgmsax5ac7htyroa@jpeg,,2025-09-18T14:30:14.829049+00:00,248,4.729838709677419,3.100840336134454,27.25,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:14.829147+00:00,2025-09-18T09:00:07.106Z,0.0,0.0,1.0
at://did:plc:7il26dkuyca5idikqpotq2lv/app.bsky.feed.post/3lz3zaimpcs2r,bafyreib3nghczuiwhb3x54et7wgwyzige3e4o6euyv66nxm5g24yacxceq,IRE BRIAN KILMEADE!!! This disgusting person oromotes attacks on homeless ppl.  #kilmeade #Homeless @foxnews.com.web.brid.gy  #CharlieKirk,2025-09-18T09:15:55.168Z,blujack.bsky.social,did:plc:7il26dkuyca5idikqpotq2lv,homeless,#homeless,search_api,demo_search_test,2025-09-18T14:30:14.677819+00:00,en,TheJack,Dad Voter Dog lover crow lover waiting patiently for a world without Trump!,2081,2703,771,False,2024-11-21T00:08:05.272Z,https://cdn.bsky.app/img/avatar/plain/did:plc:7il26dkuyca5idikqpotq2lv/bafkreiahi4juds26455wibc7caw3wwjqnguncrzfcexbounwd5jbgd42ly@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:7il26dkuyca5idikqpotq2lv/bafkreieggdujud64qp64rr6ialkgaryxyfurps7vptgvfjpmccfw2mf62a@jpeg,2025-09-18T14:30:14.677646+00:00,301,2.5614617940199333,0.7698853126156123,46.68,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:14.677814+00:00,2025-09-18T09:15:56.603Z,0.0,0.0,0.0
at://did:plc:7il26dkuyca5idikqpotq2lv/app.bsky.feed.post/3lz3zcqpjoc2r,bafyreihslcridiykwix4bllppasonnt6orb3t25wa3xylft46bavgdfnba,Make your complaints heard about Brian Kilmeade and him encouraging ppl to attack #Homeless ppl. #kilmeade #CharlieKirk @foxnews.com.web.brid.gy,2025-09-18T09:17:10.757Z,blujack.bsky.social,did:plc:7il26dkuyca5idikqpotq2lv,homeless,#homeless,search_api,demo_search_test,2025-09-18T14:30:14.677759+00:00,en,TheJack,Dad Voter Dog lover crow lover waiting patiently for a world without Trump!,2081,2703,771,False,2024-11-21T00:08:05.272Z,https://cdn.bsky.app/img/avatar/plain/did:plc:7il26dkuyca5idikqpotq2lv/bafkreiahi4juds26455wibc7caw3wwjqnguncrzfcexbounwd5jbgd42ly@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:7il26dkuyca5idikqpotq2lv/bafkreieggdujud64qp64rr6ialkgaryxyfurps7vptgvfjpmccfw2mf62a@jpeg,2025-09-18T14:30:14.677646+00:00,301,2.5614617940199333,0.7698853126156123,46.68,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:30:14.677749+00:00,2025-09-18T09:17:12.005Z,0.0,0.0,0.0
