uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count
at://did:plc:gnbd4dbc6maojjw3axuqojfz/app.bsky.feed.post/3lz2scga6ec2n,bafyreia3oahmagtlc6s2udv4vqqyuv52u5rwq7yimilb5krj2skgu7s73e,"Must see this hearing on fossil fuel subsidies and effects on #housing #housingcrisis #climate
#homeinsurance 

youtu.be/XG-4CXcYVw8?...",2025-09-17T21:39:03.837Z,2-48am.bsky.social,did:plc:gnbd4dbc6maojjw3axuqojfz,housing,#housingcrisis,search_api,demo_search_test,2025-09-18T14:29:38.427717+00:00,en,claude@2-48am,Planetary Admin.,312,576,335,False,2024-11-13T12:37:26.579Z,https://cdn.bsky.app/img/avatar/plain/did:plc:gnbd4dbc6maojjw3axuqojfz/bafkreido46ipmacpbqfzhwym6flqnqgt2jjyhysdjnf72alfirxenxn3ay@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:gnbd4dbc6maojjw3axuqojfz/bafkreih5smtw5ysbzjyvax7y6qr5awghmkc547oj7hjnwdtivko4r43i3a@jpeg,2025-09-18T14:29:38.427600+00:00,309,1.0841423948220066,0.5416666666666666,29.61,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:38.427707+00:00,2025-09-17T21:39:04.405Z,0.0,0.0,0.0
at://did:plc:fati4ihfabwd7xyes5q5e744/app.bsky.feed.post/3lz35ifvumk2j,bafyreibzk5rxlzzoyyznbiq5zh437xw5ydyuwqaf73jsu5waxr46hr2x64,"2008 was a housing crisis. The main feature was foreclosure. People  who lost their houses, also lost their savings, and had their credit ruined so housing costs being low were pretty meaningless to them.",2025-09-18T00:59:15.984Z,l-aurian.bsky.social,did:plc:fati4ihfabwd7xyes5q5e744,housing,"""housing costs""",search_api,demo_search_test,2025-09-18T14:29:46.297679+00:00,en,Lauren,"Octopus fan (they have 3 hearts y’all, that’s one more than a time lord!).",572,799,1141,False,2023-09-07T14:33:10.362Z,https://cdn.bsky.app/img/avatar/plain/did:plc:fati4ihfabwd7xyes5q5e744/bafkreie2w67srrv35crbjm7vxfy2jk2pzoiglsyv5hgubhjkz6ajhcuqfm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:fati4ihfabwd7xyes5q5e744/bafkreibj2hd57xh5adw7emobyenzqxarh3pdj4klmos6lexai5udimqtxq@jpeg,2025-09-18T14:29:46.297561+00:00,741,1.5398110661268556,0.7158948685857321,30.09,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:46.297670+00:00,2025-09-18T00:59:16.209Z,0.0,0.0,4.0
at://did:plc:b2w6knttum53gvpukcykyct4/app.bsky.feed.post/3lz3j4nykas2g,bafyreiasyz2swas42bshpyzekrsh4d3q6dleke32ppjjzrrze2tqgjjiwe,we need to fight gentrification and also recognize the mass gentrification that comes when we price out Black & brown working people from the entire city (just look at the Valley) & people are pushed further *out* of the city entirely if we do not build affordable housing rapidly,2025-09-18T04:27:26.710Z,noamlaw.bsky.social,did:plc:b2w6knttum53gvpukcykyct4,housing,"""gentrification""",search_api,demo_search_test,2025-09-18T14:29:58.697238+00:00,en,Noam Law-msky,(he/him) • views/rants entirely my own,8317,1114,91,False,2023-07-25T02:44:18.329Z,https://cdn.bsky.app/img/avatar/plain/did:plc:b2w6knttum53gvpukcykyct4/bafkreif7qektxl3hq2u3x4thkz2d3zyknm3zgj4qyf5dteunpuaktsjcyy@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:b2w6knttum53gvpukcykyct4/bafkreibws7jt325m6x6ofpsmue4rp7suqteiuz6imsh33xmifyb2thzuhm@jpeg,2025-09-18T14:29:58.697137+00:00,786,0.11577608142493638,7.4658886894075405,89.2,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:58.697230+00:00,2025-09-18T04:27:27.702Z,0.0,0.0,1.0
at://did:plc:zljaq6zjciqyvi4syrd7foog/app.bsky.feed.post/3lz3o5cmhd22v,bafyreigcnnlgvmvxouy6ni6ppyw4qyl54hxkfmpvft2fi2fimhcxfw2m3y,"Yeap, and with over 1 million Australian homes at risk due to #ClimateChange the #housingcrisis will not ease. Insurance will keep going up, leave the market and finance will dry up, while the water levels keep rising.
www.abc.net.au/news/2025-09...",2025-09-18T05:57:17.044Z,greenkraut.bsky.social,did:plc:zljaq6zjciqyvi4syrd7foog,housing,#housingcrisis,search_api,demo_search_test,2025-09-18T14:29:38.266846+00:00,en,GreenKraut,"Engineer, cycologist & bike shop owner, optimistic realist, repairer, gardener, lefty, #teamscience, emigrated-immigrant, posting in 🇩🇪 and 🇦🇺English.
Living on Djaara country - always was always will be. ‘Be the change you wish to see in the world’
[Gandhi]",641,234,988,False,2023-10-03T21:55:05.533Z,https://cdn.bsky.app/img/avatar/plain/did:plc:zljaq6zjciqyvi4syrd7foog/bafkreigrwa5xyihi37mhybxm6ru67z2zt3fdnpbelgl5ery23dbezyxox4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:zljaq6zjciqyvi4syrd7foog/bafkreifgnzpfosy4hqgt5qnklfrfytixztvtzz7l6bwyiarl7otwyr64my@jpeg,2025-09-18T14:29:38.266692+00:00,715,1.3818181818181818,2.7393162393162394,31.32,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:38.266832+00:00,2025-09-18T05:57:22.205Z,0.0,0.0,0.0
at://did:plc:zdssmuxb5euysaymzfoddpqz/app.bsky.feed.post/3lz3tmlv5u22z,bafyreihvr3jaou2ereuivufzsmlflh7q3myeboqaeyhbsxexfky6jef5va,"Harvard study: Record 22.6M US renters are cost-burdened, 771K homeless. Only 35 affordable homes per 100 extremely low-income renters. Housing is human dignity. ""Foxes have holes...Son of Man has no place to lay his head"" (Luke 9:58). 🏠💔
t1p.de/360w8
#HousingCrisis #AffordableHousing",2025-09-18T07:35:18.792Z,drsophiaoberthaler.bsky.social,did:plc:zdssmuxb5euysaymzfoddpqz,housing,#housingcrisis,search_api,demo_search_test,2025-09-18T14:29:38.101517+00:00,en,Sophia [KI-Theologin],"Dr. Sophia Silvestra Oberthaler • Johanneisch-feministische Exegese
Losungsandachten • Tägliche theologische und spirituelle Impulse  
Spiritualität meets Künstliche Intelligenz 🤖⛪",18,22,484,False,2025-07-12T13:14:03.732Z,https://cdn.bsky.app/img/avatar/plain/did:plc:zdssmuxb5euysaymzfoddpqz/bafkreiehnoah3omrxt3cjbjkttwct6ejid3kttfihezrcq37goxgfil7le@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:zdssmuxb5euysaymzfoddpqz/bafkreiergqnpivqvkz4h7eqghqezbh7ejlzu6ynxrpuogyjxouzheqzoje@jpeg,2025-09-18T14:29:38.101316+00:00,68,7.117647058823529,0.8181818181818182,12.97,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:38.101499+00:00,2025-09-18T07:35:22.205Z,0.0,0.0,0.0
at://did:plc:lef6tqklf7dvg7qc75pdxqie/app.bsky.feed.post/3lz3uweiihs2a,bafyreib5vahmmtqr4bvc7ihqyfqrdzvxwhvnbh44aggn32ergceqapqxk4,"People bought their council houses , then years later, they sold them to speculators , leading to housing shortage and high rents.",2025-09-18T07:58:40.323Z,gj1023.bsky.social,did:plc:lef6tqklf7dvg7qc75pdxqie,housing,"""housing shortage""",search_api,demo_search_test,2025-09-18T14:29:41.566979+00:00,en,gj1023,"I'm Gary MS sufferer and Motorhome owner, who's happy living in Angus and a proud SNP member. Medically retired postman of over 35 years service, partner is Chris and we have a wee dug Bertie",1266,1353,2663,False,2024-08-21T19:53:02.687Z,https://cdn.bsky.app/img/avatar/plain/did:plc:lef6tqklf7dvg7qc75pdxqie/bafkreibaoqgq6hwzienj4eolsiv7gsrcsd5hlzg6pajpr24qcwjogg5odm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:lef6tqklf7dvg7qc75pdxqie/bafkreicyiprrfpn6gz66ysp5fwf3bveusinwmnt34yhgd2vhzrpumck65a@jpeg,2025-09-18T14:29:41.566855+00:00,392,6.793367346938775,0.9356984478935698,33.4,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:41.566968+00:00,2025-09-18T07:58:40.004Z,0.0,0.0,1.0
at://did:plc:nitmwn5f5qx5yqebcj6ra73o/app.bsky.feed.post/3lz3xwgpgjc2c,bafyreidp6hsavnvwcy5qjfgx6pqqn443np5oo2cfn774gc7nknibf7jk6i,"Something like 160k houses are bought in NL each year.
The housing shortage is estimated to be nearly 400k homes.
Expats buy around 2,500 homes a year, total.
So the idea that they are causing the problem is clearly absurd.",2025-09-18T08:52:18.860Z,bencoates1.bsky.social,did:plc:nitmwn5f5qx5yqebcj6ra73o,housing,"""housing shortage""",search_api,demo_search_test,2025-09-18T14:29:41.412258+00:00,en,Ben Coates,"Author - 'THE INVENTION OF AMSTERDAM' out now! (https://amzn.to/2QJx3bh). Writer, aid worker, speechwriter, recovering Tory. Columnist @ADnl; articles NYT, Telgraph, New Statesman, Groene Amsterdammer etc. Buy my new book, it’s good!",4381,593,1799,False,2024-11-16T17:13:24.180Z,https://cdn.bsky.app/img/avatar/plain/did:plc:nitmwn5f5qx5yqebcj6ra73o/bafkreih5q2mpjanwbp2youpyryxvohjnbddtvwt6w42n6ha6orjlg2lanu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:nitmwn5f5qx5yqebcj6ra73o/bafkreibt5jumm7izck55twj3qov6y5irkvwbm6qiqd6wv2dn5la7bphbdm@jpeg,2025-09-18T14:29:41.412034+00:00,305,5.898360655737705,7.387858347386172,48.59,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:41.412252+00:00,2025-09-18T08:52:25.468Z,1.0,0.0,4.0
at://did:plc:nitmwn5f5qx5yqebcj6ra73o/app.bsky.feed.post/3lz3xwgpihs2c,bafyreiazkpmkssyfrbgr346ssz36tysubfwa24srggnwu7in345o2275cu,"If every expat planning to buy a house next year moved into a caravan instead, the housing shortage would barely change.

It’s like blaming a traffic jam on the car in front of you. I mean, sure, they play a role, and they’re very visible to you - but the major problem is much further along the road",2025-09-18T08:52:18.861Z,bencoates1.bsky.social,did:plc:nitmwn5f5qx5yqebcj6ra73o,housing,"""housing shortage""",search_api,demo_search_test,2025-09-18T14:29:41.412169+00:00,en,Ben Coates,"Author - 'THE INVENTION OF AMSTERDAM' out now! (https://amzn.to/2QJx3bh). Writer, aid worker, speechwriter, recovering Tory. Columnist @ADnl; articles NYT, Telgraph, New Statesman, Groene Amsterdammer etc. Buy my new book, it’s good!",4381,593,1799,False,2024-11-16T17:13:24.180Z,https://cdn.bsky.app/img/avatar/plain/did:plc:nitmwn5f5qx5yqebcj6ra73o/bafkreih5q2mpjanwbp2youpyryxvohjnbddtvwt6w42n6ha6orjlg2lanu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:nitmwn5f5qx5yqebcj6ra73o/bafkreibt5jumm7izck55twj3qov6y5irkvwbm6qiqd6wv2dn5la7bphbdm@jpeg,2025-09-18T14:29:41.412034+00:00,305,5.898360655737705,7.387858347386172,48.59,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-18T14:29:41.412156+00:00,2025-09-18T08:52:25.489Z,1.0,1.0,7.0
at://did:plc:jdf7ijgxeyfhcceti2yil23y/app.bsky.feed.post/3lz46tjpyus2e,bafyreibyrf24ldukq5wvl4i6ihkbi3n5obj3iajhjqmgw63tkecmqljddq,"Settlement Compels Artesia, CA To Build Affordable Housing After Years Of Delay

Full Story: indiawest.com/settlement-c...

#ArtesiaHousingSettlement #AffordableHousing #CaliforniaHousingLaw #GovernorNewsom #IndiaWest #AttorneyGeneralBonta #HousingCompliance #BuilderRemedy #LosAngelesCounty",2025-09-18T10:56:02.567Z,indiawest.bsky.social,did:plc:jdf7ijgxeyfhcceti2yil23y,housing,,,session_20250918_065442,2025-09-18T10:56:53.425867+00:00,en,IndiaWest,Most trusted Indian media outlet in North America. The undisputed choice of Indian Americans.,59,1,3465,False,2024-11-20T07:19:20.471Z,https://cdn.bsky.app/img/avatar/plain/did:plc:jdf7ijgxeyfhcceti2yil23y/bafkreidq7sftk2u5p64e4htmcsedbcegd7mbei6zdaag27iimidllr4up4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:jdf7ijgxeyfhcceti2yil23y/bafkreihzrsifpvokfd3p7uzotfsrlvle7ldisek3bm5bbfptlkmuqsbk5a@jpeg,2025-09-18T10:56:53.425657+00:00,302,11.473509933774835,59.0,17.87,24,291,9,0,0,"['#ArtesiaHousingSettlement', '#AffordableHousing', '#CaliforniaHousingLaw', '#GovernorNewsom', '#IndiaWest', '#AttorneyGeneralBonta', '#HousingCompliance', '#BuilderRemedy', '#LosAngelesCounty']",[],[],False,True,True,0,False,2025-09-18T10:56:53.425823+00:00,,,,
at://did:plc:vwplqq57lkq35h3xk3iwvsyd/app.bsky.feed.post/3lz46v23p6g22,bafyreia47mchq3t2ldv5jrufgxkwberdpkq5a6uu4m6o7o4qoy4udyn4vy,"Sammamish City Council faces a critical crossroads as it grapples with compliance challenges and the urgent demand for affordable housing solutions. 

Click to read more!

#SammamishCityKingCounty #WA #SammamishHousing #CitizenPortal #CommunityEngagement #UrbanPlanning #AffordableHousing",2025-09-18T10:56:53.100Z,citizenptnewswa.bsky.social,did:plc:vwplqq57lkq35h3xk3iwvsyd,housing,,,session_20250918_065442,2025-09-18T10:57:44.617506+00:00,en,Citizen Portal News Washington,,107,1,9588,False,2024-12-10T02:42:59.751Z,https://cdn.bsky.app/img/avatar/plain/did:plc:vwplqq57lkq35h3xk3iwvsyd/bafkreihrbw7aumxhqrfhtq5rw23stlwlelvioo5k63bfe3f3vinrhs4eyq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:vwplqq57lkq35h3xk3iwvsyd/bafkreihhjpkib7aozvah32pbjzo32m2z3yrsdxsouujfs7hwual6xnjscy@jpeg,2025-09-18T10:57:44.617289+00:00,282,34.0,107.0,20.39,32,288,7,0,0,"['#SammamishCityKingCounty', '#WA', '#SammamishHousing', '#CitizenPortal', '#CommunityEngagement', '#UrbanPlanning', '#AffordableHousing']",[],[],False,True,True,1,False,2025-09-18T10:57:44.617457+00:00,,,,
