uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,detected_location,location_indicators,location_confidence,keyword_matches,keyword_categories,collection_timestamp,text_length,has_location_data,has_keyword_matches,is_recent
at://did:plc:mrwjwcz4z64hdtezvjju3j2p/app.bsky.feed.post/3lzwxfnkhpc2m,bafyreifqqkr566r74yuf7aknowbx3uqvmcthfoxfgxkjqc7fm3uygm6xki,"Sweetie

There is a problem indemmic in America, where (typically white men) feel entitled to take out their problems on a segment of society, whether those targeted are women, POC, LGBTQ+, homeless or other

Trying to blame others, doesn't rectify the issue

youtu.be/aqd-SE62PTI?...",2025-09-29T02:24:53.560Z,sapphireseraphim.bsky.social,did:plc:mrwjwcz4z64hdtezvjju3j2p,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:32.857485+00:00,en,Sapphire Seraphim,"Book lover, horror fiend...

...A nightmare willing to happen.

My pronouns are: YES 💋

Oh, and if ""Sweetie"" upsets you, it's not intended for you",1398,105,6911,False,2024-11-15T03:05:39.348Z,https://cdn.bsky.app/img/avatar/plain/did:plc:mrwjwcz4z64hdtezvjju3j2p/bafkreifvzoe4elekcq6hovvhwqijrr2ws2wnoopdgsqrxv6ptqpgeplnei@jpeg,,2025-09-29T02:26:32.857113+00:00,317,21.801261829652997,13.314285714285715,32.47,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:32.857469+00:00,2025-09-29T02:24:55.350Z,0,0,1,america,['america'],0.3,"['homeless', 'america']","['core', 'profile_locations']",2025-09-29T02:26:41.839960+00:00,284,True,True,True
at://did:plc:zkafvyyapserpdqcjmmqq2lr/app.bsky.feed.post/3lzwxd246ic23,bafyreigbqhrxrg7whw46qigf32aglrn5ojpseipskrtdkzl6irg3wmv75a,"Thanks to Trump, my wife lost her job helping the homeless, and I was laid off for being a leftist.

This was all after being approved for a home loan.

We aren't getting a house. We're paying the rent of the parasite class instead.",2025-09-29T02:23:26.062Z,bloomsnbombshells.bsky.social,did:plc:zkafvyyapserpdqcjmmqq2lr,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:33.019977+00:00,en,Blooms 'n' Bombshells Media (слава Україні)🇺🇦,"With a strong sense of justice and higher plant empathy than a level three Druid, we're Stuka and Qassadilla.

We're gamers, plant people, cat parents, and antifascists.

We also make stickers, cards, and vinyl decals.

AntiMAGA
Antimonarchy
AntiZionist",118,64,720,False,2024-02-12T20:49:37.763Z,https://cdn.bsky.app/img/avatar/plain/did:plc:zkafvyyapserpdqcjmmqq2lr/bafkreic2b7ht5lq2ej6dvsmtkzpon2rirz6qnlygqea7ucvaqsu5kswu3m@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:zkafvyyapserpdqcjmmqq2lr/bafkreihdllaewotp6n4bqlp4w6j7ozcg4h5dacudxedcjvlespicorqcby@jpeg,2025-09-29T02:26:33.019883+00:00,594,1.2121212121212122,1.84375,21.57,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:33.019970+00:00,2025-09-29T02:23:27.750Z,0,0,0,,[],0.0,['homeless'],['core'],2025-09-29T02:26:41.840052+00:00,232,False,True,True
at://did:plc:ys7esxryhfalksmopc6ldoz7/app.bsky.feed.post/3lzwxci6vsr2n,bafyreigv6cng55fniafk2tm6njpsknwdx45w7abtrw5gurkekexjsvg45e,"I swear the Republicans would rather see 500,000 Americans sick and dying on the streets in homeless camps than to see 1 fortunate soul get a few months' benefits they may not have fully deserved. They are ghouls and they hate real ordinary Americans. They don't know us, but they hate us.",2025-09-29T02:23:07.275Z,williamcody.bsky.social,did:plc:ys7esxryhfalksmopc6ldoz7,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:33.181636+00:00,en,William K. Cody,"Nurse, Democrat, reformed academic. Happily married to Tim. Guncle of 5 in 3 generations. Fierce LGBTQIA+ advocate. Buddhistic. Will never give up on universal human rights! 🏳️‍🌈🕉️ Formerly @billcody on twitter 'til...you know. (Photo is me in 1974.)",7058,10405,2249,False,2024-11-24T19:08:20.546Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ys7esxryhfalksmopc6ldoz7/bafkreiaqezqppdqnxva63hnjwamvq4gyocweemqmyg6cyo267cjlimvx6i@jpeg,,2025-09-29T02:26:33.181519+00:00,308,7.3019480519480515,0.6783277270543008,54.18,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:33.181627+00:00,2025-09-29T02:23:07.848Z,0,0,1,america,['america'],0.3,"['homeless', 'america']","['core', 'profile_locations']",2025-09-29T02:26:41.841028+00:00,289,True,True,True
at://did:plc:rtpb6b34bi3gwcidhleo2zjt/app.bsky.feed.post/3lzwwve3dgc2n,bafyreibcxfohvq7avnye3pxepqji2idzzwqqyozpibqitgoun3xbt36cwa,"I understand what you’re saying and there’s definitely some of that national trend we’re seeing in many cities. 
But I can give credit for policies, specifically regarding policing the subway system and handling homeless people, that differed greatly from de Blasio’s disastrous last year in office.",2025-09-29T02:15:46.757Z,davecdnb.bsky.social,did:plc:rtpb6b34bi3gwcidhleo2zjt,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:33.340690+00:00,en,Dave C,"City Mouse
Pro-🇺🇸/anti-MAGA (not to be redundant)
Mets, Devils, Knicks, Giants, Hoosiers",417,134,1533,False,2024-11-29T11:45:09.746Z,https://cdn.bsky.app/img/avatar/plain/did:plc:rtpb6b34bi3gwcidhleo2zjt/bafkreid3a2kt5hed5jth2kuryttq4zzanceiiuw4qiim4frmlrhzcl5t6e@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:rtpb6b34bi3gwcidhleo2zjt/bafkreihptqhk5cmi2hedbd5wl2kmoslskqbegbbbahdeqjspmufil62xxm@jpeg,2025-09-29T02:26:33.340585+00:00,303,5.0594059405940595,3.111940298507463,27.57,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:33.340682+00:00,2025-09-29T02:15:47.856Z,0,0,0,,[],0.0,"['homeless', 'homeless people']",['core'],2025-09-29T02:26:41.841206+00:00,299,False,True,True
at://did:plc:i7efzie2b4tffsdrcnkyyhf6/app.bsky.feed.post/3lzwwt4cke22r,bafyreiegj7pgrmqsofyzplecrybn4vh74akt5qy6pripw5qyw7ohzzd6pe,"Let’s get something straight: Newsom is a hypocritical scuzzbucket who abuses the homeless community…If you hit me with Blue MAGA, you’ll get blocked as quick as Red MAGA…Just a fact…

Alt4Me",2025-09-29T02:14:31.490Z,captafab.bsky.social,did:plc:i7efzie2b4tffsdrcnkyyhf6,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:33.508560+00:00,en,Dr Capt AFAB the Antifa Spirit🟧,"Hey, I’m a transmasc nonbinary, #neurodiverse, disabled gremlin that wants to try to help as many people as I can with my own experiences! He/They. I didn’t vote for the r*pist.",224,303,2479,False,2024-04-01T20:26:26.100Z,https://cdn.bsky.app/img/avatar/plain/did:plc:i7efzie2b4tffsdrcnkyyhf6/bafkreidgh4v6gdov454jkdfn72hbhnwsfb7o7xslxt2clqfymiikn5xw5u@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:i7efzie2b4tffsdrcnkyyhf6/bafkreieypeg7lff2enznufhaqqrm2qohse6ytwixqx5vvyugtauieicr3y@jpeg,2025-09-29T02:26:33.508398+00:00,545,4.5486238532110095,0.7392739273927392,23.97,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:33.508546+00:00,2025-09-29T02:14:34.250Z,0,0,0,,[],0.0,['homeless'],['core'],2025-09-29T02:26:41.841320+00:00,191,False,True,True
at://did:plc:knnbasx2ar2aig5rj7dvwdyh/app.bsky.feed.post/3lzwwswejcc2t,bafyreibnesuunrjlts22szeo4pnlsjdsdbu72hv6u5bv4qbmpdp7koq7fm,“Portland is a war zone!” And yet any time I’ve been there all I see is cute neighborhoods? Little shops and cafes? Lots of parks and trees and people enjoying their lives? Yea there are some homeless people but what city doesn’t have that? Am I missing something??,2025-09-29T02:14:25.270Z,jbshaftoe.bsky.social,did:plc:knnbasx2ar2aig5rj7dvwdyh,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:33.664086+00:00,en,Shaftoe,"What’re you, a cop?? 

Official Squirt Ambassador/Boss of Piss

MDNI get outta here, you stupid kid",751,446,3834,False,2024-11-24T06:00:11.445Z,https://cdn.bsky.app/img/avatar/plain/did:plc:knnbasx2ar2aig5rj7dvwdyh/bafkreicbfw3br5wqdnljmyub63xcr6rn7pju2sotyn56drvb5c4epayzeu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:knnbasx2ar2aig5rj7dvwdyh/bafkreidx7fejrddfcah5q2gxugrjoylig2zvwrw2qzxyph2tytpvec6udy@jpeg,2025-09-29T02:26:33.663904+00:00,308,12.448051948051948,1.6838565022421526,29.74,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:33.664079+00:00,2025-09-29T02:14:25.750Z,0,0,2,portland,['portland'],0.3,"['homeless', 'homeless people', 'portland']","['core', 'profile_locations']",2025-09-29T02:26:41.841457+00:00,265,True,True,True
at://did:plc:e7zck4l2wkpy5lziv67ywnpg/app.bsky.feed.post/3lzwte5xll223,bafyreih5p3rcdxpt3zo3vxe5lfcwf7flxnund5pcs5vmkz26y53w5fcaq4,"You really believe I wanted to abandon all that just to save my own life?? Fuck you all if you do. Bc sometimes I wonder if y'all really need to be homeless, starving, sick n dying before you understand that I told you exactly how this would play out.",2025-09-29T01:12:28.666Z,buickmakane71.bsky.social,did:plc:e7zck4l2wkpy5lziv67ywnpg,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:39.893150+00:00,en,BuickMakane 🇧🇲🔥💨,"I used to be PariahSickKid and StuckontheX over on the birb site
I cuss like a sailor 
I'm a huge Asshole
I love cheese
I'm a massive autStoner
Elvis is alive and demanding for the Epstein files to be released and published as a book.",1129,156,17413,False,2024-11-18T16:03:02.950Z,https://cdn.bsky.app/img/avatar/plain/did:plc:e7zck4l2wkpy5lziv67ywnpg/bafkreibpqeewpcca3g6pqq7nacgnoszfed5gkfsjpzosogfqnzztvlc4o4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:e7zck4l2wkpy5lziv67ywnpg/bafkreieup3fr53xhgm2qtuv5hdwveknwwiumgv3bqrju57ehtydcmgnjaa@jpeg,2025-09-29T02:26:39.892967+00:00,314,55.455414012738856,7.237179487179487,30.85,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:39.893131+00:00,2025-09-29T01:12:30.001Z,1,0,2,,[],0.0,['homeless'],['core'],2025-09-29T02:26:41.844529+00:00,251,False,True,True
at://did:plc:dvwsi535o7hmndjnzjpnolpo/app.bsky.feed.post/3lzwtdzex6s2d,bafyreih5ol4mc5u5vcjel4injeelja6llulhlvc7no7huiraexlrvpmcda,"I am cooked with religious institutions. When not raping children and women, they do other fun things like war and force feed the homeless and developing nations their drivel. I wonder if any of their books have the word altruism anywhere.",2025-09-29T01:12:23.887Z,realdudeistmonk.bsky.social,did:plc:dvwsi535o7hmndjnzjpnolpo,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:40.054755+00:00,en,The Dudeist Monk Experience,"Mental hobo hopping from one social media train to the next.
Urban hermit trying to escape a dying world.
Friend to all dogs.
#Hockey #Boardgames #LOTR",151,111,719,False,2023-08-13T22:56:40.438Z,https://cdn.bsky.app/img/avatar/plain/did:plc:dvwsi535o7hmndjnzjpnolpo/bafkreie6p5uolwpythi2577xxyrxaxdpgafelfiy6lhpjfnkv7w5xmjbze@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:dvwsi535o7hmndjnzjpnolpo/bafkreiemrjwhfehmixeqxixxyxr7qas7pg2ilq6jalxrhq6vpm7sntjiri@jpeg,2025-09-29T02:26:40.054579+00:00,777,0.9253539253539254,1.3603603603603605,22.87,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:40.054739+00:00,2025-09-29T01:12:24.452Z,0,0,0,,[],0.0,['homeless'],['core'],2025-09-29T02:26:41.844745+00:00,239,False,True,True
at://did:plc:mf6zs4qdl2adyoaeqi7ri274/app.bsky.feed.post/3lzwtbn7j5c25,bafyreietwize7nee4oztbf7mhfhjddd2l24dfg7orztvrppwpewsh32gqe,"Plus, this administration's attack on the homeless, many of whom are vets. Anyone who served deserves the same medical benefits that elected officials get, period.",2025-09-29T01:11:04.017Z,shel60.bsky.social,did:plc:mf6zs4qdl2adyoaeqi7ri274,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:40.223060+00:00,en,Shel,"Scientist. Climate change is real, BLM, LGBTQ ally, anti-facist.",11757,15670,815,False,2024-11-11T22:11:01.513Z,https://cdn.bsky.app/img/avatar/plain/did:plc:mf6zs4qdl2adyoaeqi7ri274/bafkreibinxgucogtn36uvsmqrocfkk36nwu7izxye423mm3c5dl5v4xbfu@jpeg,,2025-09-29T02:26:40.222896+00:00,321,2.5389408099688473,0.7502871729419273,90.7,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:40.223044+00:00,2025-09-29T01:11:04.553Z,1,1,5,,[],0.0,['homeless'],['core'],2025-09-29T02:26:41.844873+00:00,163,False,True,True
at://did:plc:qsenzsa7fv2djal72okedidt/app.bsky.feed.post/3lzwswaxfzk2p,bafyreibfgg3w7xxjo6al4g26zwfyyv3lzml74shpgml726ty63fm37kjmq,"For nearly four years I was the HR Director for Santa Clara County's largest provider for homeless shelters, and a major income source was from the VA for homeless vets.

To this day I still can't wrap my head around that we allow our vets to become homeless.",2025-09-29T01:04:42.070Z,salazarjcarlos.bsky.social,did:plc:qsenzsa7fv2djal72okedidt,homeless,homeless,both,socmed_both_60min,2025-09-29T02:26:40.376469+00:00,en,Who Killed The World?,"Snarky, yet well-intentioned fellow. I try to be kind, but often fail. Trapped in a world I never made. Proud member of The Resistance since 2016. Serious Atheist. No Crypto or DM's, please.",2189,724,674,False,2024-11-12T02:17:21.114Z,https://cdn.bsky.app/img/avatar/plain/did:plc:qsenzsa7fv2djal72okedidt/bafkreifmm76vutklb4t2fsbddeefcwbor6c4uorfcnjupm6i7rqxhyehkq@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:qsenzsa7fv2djal72okedidt/bafkreigpx3dtvfoewyxmuddrocumyd2kwo4hgtzdcsrqrvelpmgdu252hq@jpeg,2025-09-29T02:26:40.376403+00:00,321,2.0996884735202492,3.023480662983425,49.64,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T02:26:40.376462+00:00,2025-09-29T01:04:42.557Z,0,0,13,,[],0.0,"['homeless', 'homeless shelter']","['core', 'service']",2025-09-29T02:26:41.844962+00:00,259,False,True,True
