uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,detected_location,location_indicators,location_confidence,keyword_matches,keyword_categories,collection_timestamp,text_length,has_location_data,has_keyword_matches,is_recent
at://did:plc:pdnasefxsf7gakz7cfok3wj7/app.bsky.feed.post/3lzwuxan2vc26,bafyreibdzqx7rwl37tvltlyotmjbpffa62sg2yasdo4thfudq7tc262bdm,"It sounded like staff said someone said I was sui_ so I left homeless shelter
Thought they were coming🚔* to lie again lol*",2025-09-29T01:41:02.770Z,denvyjacobson.bsky.social,did:plc:pdnasefxsf7gakz7cfok3wj7,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:26.041611+00:00,en,Denver Biden Wins,,2,2,1146,False,2025-09-24T12:23:48.262Z,https://cdn.bsky.app/img/avatar/plain/did:plc:pdnasefxsf7gakz7cfok3wj7/bafkreidvcugze5ote3ebncw4pxmbadgopswoyo7qjjjrc2gvd7oxfuxhx4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:pdnasefxsf7gakz7cfok3wj7/bafkreie3kwassex7rnu2x3im2je4uatik5ptj7gtqiknfwi3byqmfq6bgu@jpeg,2025-09-29T05:18:26.041495+00:00,4,286.5,1.0,4.78,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:26.041601+00:00,2025-09-29T01:41:04.156Z,0,0,0,,[],0.0,"['homeless', 'homeless shelter', 'homeless shelter']","['core_terms', 'housing_types', 'locations']",2025-09-29T05:18:36.868825+00:00,122,False,True,True
at://did:plc:a3chyguarbbyyc6li57gsx5s/app.bsky.feed.post/3lzwuaf6rw22u,bafyreiboffqcxjg2bocrzjonfo4y77br6g232tlpcpbrgsbdnsntwkl7iq,"huh, after karen left matt she started working at the welfare clinic... that really reinforces what she does in the 80s when she sets up that homeless shelter too. Man, its a shame she's so infantalizing in her abelism bc she does have her hear in the right place",2025-09-29T01:28:15.782Z,exaltedcomics.bsky.social,did:plc:a3chyguarbbyyc6li57gsx5s,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:26.200694+00:00,en,Honey Ham - Commissions Open - Buy My Book,"Artist and writer
Publisher author
Trans

On my own time i do fanfic stuff

Buy My Book and Support Me in Other Ways 
https://linktr.ee/ExaltedComics",1848,1349,7939,False,2023-08-02T22:46:40.106Z,https://cdn.bsky.app/img/avatar/plain/did:plc:a3chyguarbbyyc6li57gsx5s/bafkreiccp4ig26ego3cignn2yf4u2df62dhqtg73fixnqfgi6ciyv5hyo4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:a3chyguarbbyyc6li57gsx5s/bafkreiey3dn33jdokwk3bec3ddjhstw6p2itlorw25idqxpx5hkohgerxy@jpeg,2025-09-29T05:18:26.200552+00:00,788,10.0748730964467,1.3699036323202372,33.83,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:26.200683+00:00,2025-09-29T01:28:20.954Z,0,0,2,la,['la'],0.3,"['homeless', 'homeless shelter', 'homeless shelter', 'la']","['core_terms', 'housing_types', 'locations', 'profile_locations']",2025-09-29T05:18:36.868906+00:00,263,True,True,True
at://did:plc:36ugu5rhq5q5gdsn77zd6ok7/app.bsky.feed.post/3lzwtzllpkk2e,bafyreihepldavsi3b4k2ck2iz22crumg5pggmgyzffpdg4ikrh3r766toq,"A correction, I'm the person who asked the final question about the zoning change to allow the expansion of the existing homeless shelter in Davis.

I'm not affiliated with SHC (just a random guy), but I was inspired by the meeting to sign up to volunteer",2025-09-29T01:24:27.627Z,pjkimsantos.bsky.social,did:plc:36ugu5rhq5q5gdsn77zd6ok7,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:26.361516+00:00,en,,,17,16,16,False,2023-10-02T00:39:14.088Z,,,2025-09-29T05:18:26.361427+00:00,728,0.02197802197802198,1.0625,17.87,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:26.361507+00:00,2025-09-29T01:24:28.652Z,1,0,1,,[],0.0,"['homeless', 'homeless shelter', 'homeless shelter']","['core_terms', 'housing_types', 'locations']",2025-09-29T05:18:36.868961+00:00,255,False,True,True
at://did:plc:nzosvzrsdjos77vzp2nbwyij/app.bsky.feed.post/3lzwpahz6mc2e,bafyreieydugejq2ym45thcayh67adinnvikb7vyltxijywjknwzdyuy44e,"I hope the next President turns the big, beautiful ballroom into a homeless shelter and soup kitchen, and uses all the Oval Office bling to fund it.",2025-09-28T23:58:50.045Z,parock23.bsky.social,did:plc:nzosvzrsdjos77vzp2nbwyij,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:26.520433+00:00,en,Pa Rock,"Liberal Dem, retired educator and social worker.  Father of three, grandfather of six.  Living in south central Missouri.  Interested in politics, travel, genealogy, and history.  My daily blog - ""Pa Rock's Ramble""  -  has been in existence over 17 years.",2399,2027,746,False,2024-12-14T18:02:03.443Z,https://cdn.bsky.app/img/avatar/plain/did:plc:nzosvzrsdjos77vzp2nbwyij/bafkreieudt25jntktgfwblzh5fignu5gtld6yym2son6wb66lwpzw53rwe@jpeg,,2025-09-29T05:18:26.520353+00:00,288,2.5902777777777777,1.1835224469659595,49.88,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:26.520426+00:00,2025-09-28T23:58:50.855Z,0,0,0,ca,['profile:ca'],0.5,"['homeless', 'homeless shelter', 'homeless shelter']","['core_terms', 'housing_types', 'locations']",2025-09-29T05:18:36.869023+00:00,148,True,True,True
at://did:plc:rg3n5f6aobqnbpyq2ldracrr/app.bsky.feed.post/3lzwhwkmyxi2v,bafyreicldbdrn7tjwlfu64lopsxajqldjd54lnal4bnpovj3nvl3napf3i,"Edmonton police locate man convicted in homeless shelter killing after public alert

Edmonton police have located Stanley Jago, a man convicted in a homeless shelter killing, after a public alert was issued. Jago wa...

Read more: https://provincials.ca/article/0a048423-a43f-4c44-ab22-984a619ec60d",2025-09-28T21:48:00.876Z,provincials.bsky.social,did:plc:rg3n5f6aobqnbpyq2ldracrr,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:26.683826+00:00,en,Provincial News,"Provincial News curates trusted Canadian journalism, refines each story for clarity, and delivers province-by-province coverage free to every reader because reliable, unbiased news is the bedrock of a healthy democracy.",36,0,5487,False,2025-07-18T18:17:50.433Z,https://cdn.bsky.app/img/avatar/plain/did:plc:rg3n5f6aobqnbpyq2ldracrr/bafkreiab6cxkqgh54243wypsjslthcojs7b5o4mr6yjtbfpuanarsd566q@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:rg3n5f6aobqnbpyq2ldracrr/bafkreigtyq26xoqjzgj3cnaarlvrl7awiva6vvnguybirwo7abnmvzkp2u@jpeg,2025-09-29T05:18:26.683729+00:00,72,76.20833333333333,36.0,15.71,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:26.683819+00:00,2025-09-28T21:48:01.652Z,0,0,0,ca,"['ca', 'profile:ca', 'profile:la']",1.0,"['homeless', 'homeless shelter', 'homeless shelter', 'ca']","['core_terms', 'housing_types', 'locations', 'profile_locations']",2025-09-29T05:18:36.869099+00:00,298,True,True,True
at://did:plc:wfipnph2lwoprbw4gsgpgbuq/app.bsky.feed.post/3lzw7yzyse22h,bafyreigwieqhtrn3qkknoro3s4xn43t7hjdmboxu2exuh4igowuiirtwja,"These kids are afraid to walk past a food distro and a homeless shelter in a church. I've been blessed so many times by those very same ""threatening homeless criminals"" just for being decent. Like I'm sorry, but it's the intersection of racism and classism, right there on ""Scared White Girl"" corner",2025-09-28T19:26:14.345Z,sugarblind.bsky.social,did:plc:wfipnph2lwoprbw4gsgpgbuq,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:27.552056+00:00,en,"Pearly Sweetcake, PhD","ghastly & dubious hologothic hagette
slenderman's sleep paralysis demon",237,216,4531,False,2023-08-01T02:55:07.477Z,https://cdn.bsky.app/img/avatar/plain/did:plc:wfipnph2lwoprbw4gsgpgbuq/bafkreigtdnladdyipeechrhhaoytz65nnl74tunngofz22hw3ad46ic4i4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:wfipnph2lwoprbw4gsgpgbuq/bafkreiauuga25c74gd7omm7rlwex4v3dq52j2hxkhkebnrrevg2n2cs424@jpeg,2025-09-29T05:18:27.551922+00:00,790,5.735443037974684,1.0972222222222223,24.03,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:27.552042+00:00,2025-09-28T19:26:14.851Z,1,0,1,ca,"['ca', 'la', 'ny']",0.8,"['homeless', 'homeless shelter', 'homeless shelter', 'ca', 'la', 'ny']","['core_terms', 'housing_types', 'locations', 'profile_locations']",2025-09-29T05:18:36.869165+00:00,299,True,True,True
at://did:plc:k3e34calzrx5nslp3le26l5p/app.bsky.feed.post/3lzw7dey5z22y,bafyreieurkrc3v65z3abgic3qrfbuzws2bilwx7gmubwm7dcvihypejrve,"Back years ago I was trying to be nice and took a few boxes of Krispy Kreme into my local police station they took them from me and tossed them in the garbage. 

I was very pissed off would have taken them to the firehouse or homeless shelter if I knew the assholes were gonna do that.",2025-09-28T19:14:07.661Z,psiic.bsky.social,did:plc:k3e34calzrx5nslp3le26l5p,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:27.717518+00:00,en,,,274,96,2763,False,2025-07-22T03:21:00.232Z,https://cdn.bsky.app/img/avatar/plain/did:plc:k3e34calzrx5nslp3le26l5p/bafkreiglni3fax6orwvhipe6ssqqespiv5oc2zh3exz3sr6iui6qd5puka@jpeg,,2025-09-29T05:18:27.717416+00:00,69,40.04347826086956,2.8541666666666665,24.89,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:27.717510+00:00,2025-09-28T19:14:10.055Z,1,0,2,ca,['ca'],0.3,"['homeless', 'homeless shelter', 'homeless shelter', 'ca']","['core_terms', 'housing_types', 'locations', 'profile_locations']",2025-09-29T05:18:36.869227+00:00,285,True,True,True
at://did:plc:hyga64jm6p5mpk7jj7zzpwl3/app.bsky.feed.post/3lzw45wmwdk2h,bafyreih74h4o2uxnkm3fs7htnbbkdro3mbgbiewk6svzoqalbrbc525oni,Stochastic terrorism. FOX news  calls for killing homeless & blowing up UN. Then we're surprised when creeps are emboldened to shoot up a homeless shelter & plant bombs under cars,2025-09-28T18:17:23.615Z,cherishone.bsky.social,did:plc:hyga64jm6p5mpk7jj7zzpwl3,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:27.876641+00:00,en,,"Inadequate gardener, likes dogs & other animals, can't cook well, blue dog dem, no magats, atheist",2439,1601,2936,False,2025-05-30T16:03:01.541Z,https://cdn.bsky.app/img/avatar/plain/did:plc:hyga64jm6p5mpk7jj7zzpwl3/bafkreihctsg22rw6awdkiittwlv2kvp7xjvycdccnfdjlyjfrwbrrw5eca@jpeg,,2025-09-29T05:18:27.876530+00:00,121,24.264462809917354,1.523422860712055,38.03,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:27.876633+00:00,2025-09-28T18:17:24.652Z,1,0,1,ca,"['ca', 'la', 'profile:ca']",1.0,"['homeless', 'homeless shelter', 'homeless shelter', 'ca', 'la']","['core_terms', 'housing_types', 'locations', 'profile_locations']",2025-09-29T05:18:36.869283+00:00,179,True,True,True
at://did:plc:pdnasefxsf7gakz7cfok3wj7/app.bsky.feed.post/3lzvzkerg4c27,bafyreifoh3emi4xu52566gco237ut7wd32mpgus4wfmojbaju44adpw6nu,Acapella at homeless shelter,2025-09-28T17:30:39.870Z,denvyjacobson.bsky.social,did:plc:pdnasefxsf7gakz7cfok3wj7,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:27.876710+00:00,en,Denver Biden Wins,,2,2,1146,False,2025-09-24T12:23:48.262Z,https://cdn.bsky.app/img/avatar/plain/did:plc:pdnasefxsf7gakz7cfok3wj7/bafkreidvcugze5ote3ebncw4pxmbadgopswoyo7qjjjrc2gvd7oxfuxhx4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:pdnasefxsf7gakz7cfok3wj7/bafkreie3kwassex7rnu2x3im2je4uatik5ptj7gtqiknfwi3byqmfq6bgu@jpeg,2025-09-29T05:18:26.041495+00:00,4,286.5,1.0,4.78,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:27.876706+00:00,2025-09-28T17:30:42.253Z,0,0,0,ca,"['ca', 'la']",0.6,"['homeless', 'homeless shelter', 'homeless shelter', 'ca', 'la']","['core_terms', 'housing_types', 'locations', 'profile_locations']",2025-09-29T05:18:36.869319+00:00,28,True,True,True
at://did:plc:pdnasefxsf7gakz7cfok3wj7/app.bsky.feed.post/3lzvw5x3e722e,bafyreibn32z4ebsi5tixarqx6oepd4q6xargeghi574a26dymoghmzyj5a,"""mind your business"" ""I don't know how to do that"" ""shut up, Dam_

convo at homeless shelter for women and* kids*🗑️🏳️‍🌈🚼💉🚨",2025-09-28T16:30:01.637Z,denvyjacobson.bsky.social,did:plc:pdnasefxsf7gakz7cfok3wj7,homeless shelter,homeless shelter,search,socmed_search_30min,2025-09-29T05:18:28.589411+00:00,en,Denver Biden Wins,,2,2,1146,False,2025-09-24T12:23:48.262Z,https://cdn.bsky.app/img/avatar/plain/did:plc:pdnasefxsf7gakz7cfok3wj7/bafkreidvcugze5ote3ebncw4pxmbadgopswoyo7qjjjrc2gvd7oxfuxhx4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:pdnasefxsf7gakz7cfok3wj7/bafkreie3kwassex7rnu2x3im2je4uatik5ptj7gtqiknfwi3byqmfq6bgu@jpeg,2025-09-29T05:18:26.041495+00:00,4,286.5,1.0,4.78,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-09-29T05:18:28.589358+00:00,2025-09-28T16:30:04.057Z,0,0,0,,[],0.0,"['homeless', 'homeless shelter', 'homeless shelter']","['core_terms', 'housing_types', 'locations']",2025-09-29T05:18:36.869369+00:00,122,False,True,True
