uri,cid,text,created_at,keyword,lang,author_handle,author_did,author_display_name,author_description,author_avatar,author_followers_count,author_following_count,author_posts_count,author_verified,like_count,repost_count,reply_count,total_engagement,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,has_media,is_reply
at://did:plc:wl5qxf6jdfl6pdyheecxo5ir/app.bsky.feed.post/3m2jwnqi73s27,bafyreicsdfuyoiodvnit4bbgignbbmmvwbtohu2isrsu6f2hwortsqelie,"There’s room for you too, if  you’re Latino.  Or black.  Or Muslim.  Or Indigenous.  Or of Asian descent.  Or multiracial.  Or Jewish.  Or LGBTQ+.  Or liberal.  Or homeless.   Or an immigrant. Or elderly. Or disabled. Or neurodiverse. Or dare to speak the truth about the  #EpsteinFiles",2025-10-06T15:32:06.325Z,homeless,en,lindadominguez.bsky.social,did:plc:wl5qxf6jdfl6pdyheecxo5ir,Linda Dominguez (she/her),,https://cdn.bsky.app/img/avatar/plain/did:plc:wl5qxf6jdfl6pdyheecxo5ir/bafkreihrlbz7bticfeavflv2xpgxskipq2xbj55ovwttyzglmyum5l2kzi@jpeg,11865,16263,1971,False,0,0,0,0,46,286,1,0,0,#EpsteinFiles,,True,False
at://did:plc:kav5rhczstnvwtkrgkftywrt/app.bsky.feed.post/3m2jwmbr2ek2q,bafyreidxa7dpamjfetwt2p5knnmijkmg4tm2jb5l5tn5zkfwc7zk2eei4y,"The Tories love making people homeless, they excel at it *Gestures all over the UK*",2025-10-06T15:31:17.363Z,homeless,en,ddigitalmedia.bsky.social,did:plc:kav5rhczstnvwtkrgkftywrt,David Neil Robinson,,https://cdn.bsky.app/img/avatar/plain/did:plc:kav5rhczstnvwtkrgkftywrt/bafkreiafcfytalbkui6x7t5ki6zqn2fmgtbfqo2ytrwlwmvi3pktfjveoi@jpeg,1445,1886,13460,False,1,0,0,1,15,83,0,0,0,,,False,True
at://did:plc:sz3fr4vqpvocqymbds2ikybo/app.bsky.feed.post/3m2jwirksoc2i,bafyreib5ksmdl3d7gple2liopjpkw7idyg7os7kdj2s3zc2xietdh6uprm,"The city does have like a social help type task force but her supervisor doesn't want to call them to assist the homeless and I""m just like

So the solution is to not help them or help your own library make it make sense",2025-10-06T15:29:19.718Z,homeless,en,hamburgerjack.bsky.social,did:plc:sz3fr4vqpvocqymbds2ikybo,30 to 50 Feral Hamburgers★,,https://cdn.bsky.app/img/avatar/plain/did:plc:sz3fr4vqpvocqymbds2ikybo/bafkreidtbcfhl42c7mwour6ptcmoruc5fj2yzatig3h6d3bzzgmbkqxuxa@jpeg,1124,155,17229,False,0,0,0,0,44,220,0,0,0,,,False,True
at://did:plc:fbom6ds6p4rcp2fptdqbiy5k/app.bsky.feed.post/3m2jwhukkl22u,bafyreig5pba5xtqvignxmtkk65olcwvggr3qn264r72xia3n77dwdhrh2i,"Oh now it’s ’terrorists or Democrats’. So now we’ve moved the goal from bad hombres to illegals to immigrants to homeless to mentally ill to Democrats and now we’re associating Democrat and terrorist in the same sentence. This is how Germany moved so quickly into fascism, folks.",2025-10-06T15:28:49.301Z,homeless,en,silverpoet.bsky.social,did:plc:fbom6ds6p4rcp2fptdqbiy5k,SilverPoet,,https://cdn.bsky.app/img/avatar/plain/did:plc:fbom6ds6p4rcp2fptdqbiy5k/bafkreid4ex4qjc6uipaibv5ljdntlkqdeyphgn34wyenewthblmnvmcjua@jpeg,525,281,1932,False,2,1,0,3,47,279,0,0,0,,,False,True
at://did:plc:cmgouefsu6svhmorvt53sxsc/app.bsky.feed.post/3m2jwhpvxos2s,bafyreidrcr5r2abduwto2c4jn35n76tyqzn7qqcwl4iee2ogtdcbnbybd4,"That $20 Billion to Argentina and its trumpy loser dictator sure could help all those homeless veterans you maga cultists fake care about. 
“Money Bags​“
graphite, marker, colored pencil on paper
​67 x 51 inches (170 x 130 cm)
2012
#maga #art #greed #money #USA 🇺🇸",2025-10-06T15:28:44.427Z,homeless,en,michaelscoggins.bsky.social,did:plc:cmgouefsu6svhmorvt53sxsc,Michael Scoggins,,https://cdn.bsky.app/img/avatar/plain/did:plc:cmgouefsu6svhmorvt53sxsc/bafkreibpx5c6e7c3y7wb6alcr4x3nj4wyujuovccq6zuyj52xtnundomyy@jpeg,316,314,104,False,0,0,0,0,46,264,5,0,0,"#maga,#art,#greed,#money,#USA",,True,False
at://did:plc:sz3fr4vqpvocqymbds2ikybo/app.bsky.feed.post/3m2jwh6c4ps2i,bafyreihujperhjjb6trr7ohgve7hfkyojtihie6gehtg7yqnsyz3n6tvqu,"A coworker of mine works at a Library and they want to get traffic up buy homeless people linger and some, with mental issues yell or have incidents in the bathroom. Families don't want to go there and weekend hours aren't long enough to have the programs they want",2025-10-06T15:28:25.956Z,homeless,en,hamburgerjack.bsky.social,did:plc:sz3fr4vqpvocqymbds2ikybo,30 to 50 Feral Hamburgers★,,https://cdn.bsky.app/img/avatar/plain/did:plc:sz3fr4vqpvocqymbds2ikybo/bafkreidtbcfhl42c7mwour6ptcmoruc5fj2yzatig3h6d3bzzgmbkqxuxa@jpeg,1124,155,17229,False,0,0,1,1,49,265,0,0,0,,,False,True
at://did:plc:elnbwcdlrjj4ot26olansut2/app.bsky.feed.post/3m2jwaogzr224,bafyreifra4ogtzpgzv2qmy3nr23jcpekl333zpplnpmnm2fyzqxmq2d2tu,"and those homeless people would be us! at one point i could *not* get a job anywhere, at all. the only thing that stopped us tanking completely was my wife, who had ILR, being able to claim jobseeker's allowance for a few months. if that was us in the future, we'd be completely hosed",2025-10-06T15:24:48.013Z,homeless,en,paperghost.bsky.social,did:plc:elnbwcdlrjj4ot26olansut2,Chris Boyd,,https://cdn.bsky.app/img/avatar/plain/did:plc:elnbwcdlrjj4ot26olansut2/bafkreibt47rp7nkfmxk3ybnzl4tpheaelo2hgbp6mpmuulxew7nu6lgjnm@jpeg,6458,824,5596,False,2,0,0,2,54,284,0,0,0,,,False,True
at://did:plc:p4njjnkvuiyqf6smravaomsd/app.bsky.feed.post/3m2jw3jz7tc2f,bafyreibp5rtiezkz6yjhr32h2xn3ye3euffvrxiisogy3x64ktbmecw7lq,"Absolutely.

Our need for comfort and ease is going to shepherd us into the slave pen.

They've got us. If you don't work 2 underpaid jobs, you WILL be homeless, so, you work instead of protesting and doing a general strike.",2025-10-06T15:21:55.593Z,homeless,en,citizenkell.bsky.social,did:plc:p4njjnkvuiyqf6smravaomsd,Kell,,https://cdn.bsky.app/img/avatar/plain/did:plc:p4njjnkvuiyqf6smravaomsd/bafkreicap7e35byoadl47ljaxwkjhiwzaj5epxpivqwfwxdhplxy3xg3mu@jpeg,1631,786,7530,False,0,0,0,0,41,224,0,0,0,,,False,True
at://did:plc:tkil7ijhdujbznvagwst52f6/app.bsky.feed.post/3m2jvypxc5k2r,bafyreicoqft7tglco544rwpvut2ifklfxqxebg5cegffowoqbgenp2po4e,"Aarrhhoooo! Congratulations to Ruby on her #Adoption!

Other #Basset Hounds still looking for forever homes: www.bassetrescue.org/homeless

#AdoptDontShop #BassetHound #RESCUE #BassetsOfBlueSky #DogsOfBlueSky",2025-10-06T15:20:21.152Z,homeless,en,gabrbassets.bsky.social,did:plc:tkil7ijhdujbznvagwst52f6,Guardian Angel Basset Rescue,,https://cdn.bsky.app/img/avatar/plain/did:plc:tkil7ijhdujbznvagwst52f6/bafkreiay5amlddfqjqhkeyzatlvdw3wxsbx6yi4j3z7yxbrkydjm7qynie@jpeg,223,104,212,False,0,1,0,1,21,208,7,0,0,"#Adoption!,#Basset,#AdoptDontShop,#BassetHound,#RESCUE,#BassetsOfBlueSky,#DogsOfBlueSky",,True,False
at://did:plc:elnbwcdlrjj4ot26olansut2/app.bsky.feed.post/3m2jvypg5d224,bafyreie733g7l2wvnrvaszx6svmrltf2yfeqpfq7myh3gv3lru2z76gu7e,"many benefits are household claims. imagine you're british and your spouse has ILR, and you're told that you're being denied benefits because your spouse is from ""other parts of the world and they can leave"". imagine if you lose your job and your spouse can't claim jobseekers, so you end up homeless",2025-10-06T15:20:20.597Z,homeless,en,paperghost.bsky.social,did:plc:elnbwcdlrjj4ot26olansut2,Chris Boyd,,https://cdn.bsky.app/img/avatar/plain/did:plc:elnbwcdlrjj4ot26olansut2/bafkreibt47rp7nkfmxk3ybnzl4tpheaelo2hgbp6mpmuulxew7nu6lgjnm@jpeg,6458,824,5596,False,16,6,4,26,52,300,0,0,0,,,True,False
