Theme,Keyword,State,Value
Help,Volunteer food bank,Alabama,0.6410256410256411
Help,Volunteer food bank,Alaska,0.02857142857142857
Help,Volunteer food bank,Arizona,1.5517241379310345
Help,Volunteer food bank,Arkansas,1.0512820512820513
Help,Volunteer food bank,California,1.1470588235294117
Help,Volunteer food bank,Colorado,1.0
Help,Volunteer food bank,Connecticut,0.5151515151515151
Help,Volunteer food bank,Delaware,2.6666666666666665
Help,Volunteer food bank,District of Columbia,1.7142857142857142
Help,Volunteer food bank,Florida,0.78125
Help,Volunteer food bank,Georgia,1.0689655172413792
Help,Volunteer food bank,Hawaii,0.2542372881355932
Help,Volunteer food bank,Idaho,1.0
Help,Volunteer food bank,Illinois,0.59375
Help,Volunteer food bank,Indiana,0.4888888888888889
Help,Volunteer food bank,Iowa,0.46153846153846156
Help,Volunteer food bank,Kansas,0.3783783783783784
Help,Volunteer food bank,Kentucky,0.2826086956521739
Help,Volunteer food bank,Louisiana,0.9705882352941176
Help,Volunteer food bank,Maine,0.5434782608695652
Help,Volunteer food bank,Maryland,0.8857142857142857
Help,Volunteer food bank,Massachusetts,0.6153846153846154
Help,Volunteer food bank,Michigan,0.38095238095238093
Help,Volunteer food bank,Minnesota,0.2619047619047619
Help,Volunteer food bank,Mississippi,0.0
Help,Volunteer food bank,Missouri,0.5945945945945946
Help,Volunteer food bank,Montana,0.8148148148148148
Help,Volunteer food bank,Nebraska,1.0
Help,Volunteer food bank,Nevada,0.5555555555555556
Help,Volunteer food bank,New Hampshire,0.7083333333333334
Help,Volunteer food bank,New Jersey,0.8333333333333334
Help,Volunteer food bank,New Mexico,0.7931034482758621
Help,Volunteer food bank,New York,0.7142857142857143
Help,Volunteer food bank,North Carolina,0.8888888888888888
Help,Volunteer food bank,North Dakota,0.0
Help,Volunteer food bank,Ohio,0.9411764705882353
Help,Volunteer food bank,Oklahoma,0.9473684210526315
Help,Volunteer food bank,Oregon,0.825
Help,Volunteer food bank,Pennsylvania,0.7567567567567568
Help,Volunteer food bank,Rhode Island,0.0
Help,Volunteer food bank,South Carolina,0.4666666666666667
Help,Volunteer food bank,South Dakota,0.0
Help,Volunteer food bank,Tennessee,1.03125
Help,Volunteer food bank,Texas,2.4782608695652173
Help,Volunteer food bank,Utah,0.9696969696969697
Help,Volunteer food bank,Vermont,1.0625
Help,Volunteer food bank,Virginia,1.1290322580645162
Help,Volunteer food bank,Washington,1.2058823529411764
Help,Volunteer food bank,West Virginia,0.0
Help,Volunteer food bank,Wisconsin,0.46153846153846156
Help,Volunteer food bank,Wyoming,0.0
Help,how to help homeless,Alabama,0.5897435897435898
Help,how to help homeless,Alaska,0.0
Help,how to help homeless,Arizona,0.5172413793103449
Help,how to help homeless,Arkansas,0.5128205128205128
Help,how to help homeless,California,0.4411764705882353
Help,how to help homeless,Colorado,0.3684210526315789
Help,how to help homeless,Connecticut,0.45454545454545453
Help,how to help homeless,Delaware,0.0
Help,how to help homeless,District of Columbia,0.0
Help,how to help homeless,Florida,0.84375
Help,how to help homeless,Georgia,0.7586206896551724
Help,how to help homeless,Hawaii,0.1864406779661017
Help,how to help homeless,Idaho,0.3333333333333333
Help,how to help homeless,Illinois,0.5625
Help,how to help homeless,Indiana,0.4444444444444444
Help,how to help homeless,Iowa,0.46153846153846156
Help,how to help homeless,Kansas,0.5945945945945946
Help,how to help homeless,Kentucky,0.4782608695652174
Help,how to help homeless,Louisiana,0.6764705882352942
Help,how to help homeless,Maine,0.0
Help,how to help homeless,Maryland,0.45714285714285713
Help,how to help homeless,Massachusetts,0.41025641025641024
Help,how to help homeless,Michigan,0.5476190476190477
Help,how to help homeless,Minnesota,0.6190476190476191
Help,how to help homeless,Mississippi,0.7678571428571429
Help,how to help homeless,Missouri,0.6216216216216216
Help,how to help homeless,Montana,0.037037037037037035
Help,how to help homeless,Nebraska,0.5625
Help,how to help homeless,Nevada,0.35555555555555557
Help,how to help homeless,New Hampshire,0.0
Help,how to help homeless,New Jersey,0.4722222222222222
Help,how to help homeless,New Mexico,0.5862068965517241
Help,how to help homeless,New York,0.5428571428571428
Help,how to help homeless,North Carolina,0.5
Help,how to help homeless,North Dakota,0.05263157894736842
Help,how to help homeless,Ohio,0.4411764705882353
Help,how to help homeless,Oklahoma,0.5
Help,how to help homeless,Oregon,0.35
Help,how to help homeless,Pennsylvania,0.4864864864864865
Help,how to help homeless,Rhode Island,0.024390243902439025
Help,how to help homeless,South Carolina,0.5111111111111111
Help,how to help homeless,South Dakota,0.0
Help,how to help homeless,Tennessee,0.78125
Help,how to help homeless,Texas,0.5652173913043478
Help,how to help homeless,Utah,0.48484848484848486
Help,how to help homeless,Vermont,0.0
Help,how to help homeless,Virginia,0.5161290322580645
Help,how to help homeless,Washington,0.2647058823529412
Help,how to help homeless,West Virginia,0.5
Help,how to help homeless,Wisconsin,0.6666666666666666
Help,how to help homeless,Wyoming,0.0
Help,end homelessness,Alabama,0.3333333333333333
Help,end homelessness,Alaska,1.8285714285714285
Help,end homelessness,Arizona,0.3793103448275862
Help,end homelessness,Arkansas,0.0
Help,end homelessness,California,0.35294117647058826
Help,end homelessness,Colorado,0.2631578947368421
Help,end homelessness,Connecticut,1.0606060606060606
Help,end homelessness,Delaware,0.037037037037037035
Help,end homelessness,District of Columbia,2.0476190476190474
Help,end homelessness,Florida,0.5
Help,end homelessness,Georgia,0.6206896551724138
Help,end homelessness,Hawaii,0.2542372881355932
Help,end homelessness,Idaho,0.4444444444444444
Help,end homelessness,Illinois,0.96875
Help,end homelessness,Indiana,0.28888888888888886
Help,end homelessness,Iowa,0.6410256410256411
Help,end homelessness,Kansas,0.7297297297297297
Help,end homelessness,Kentucky,0.41304347826086957
Help,end homelessness,Louisiana,0.29411764705882354
Help,end homelessness,Maine,0.6304347826086957
Help,end homelessness,Maryland,0.5142857142857142
Help,end homelessness,Massachusetts,0.5384615384615384
Help,end homelessness,Michigan,0.4523809523809524
Help,end homelessness,Minnesota,0.5
Help,end homelessness,Mississippi,0.017857142857142856
Help,end homelessness,Missouri,0.4864864864864865
Help,end homelessness,Montana,0.0
Help,end homelessness,Nebraska,0.5625
Help,end homelessness,Nevada,0.3111111111111111
Help,end homelessness,New Hampshire,2.4583333333333335
Help,end homelessness,New Jersey,0.4722222222222222
Help,end homelessness,New Mexico,1.0689655172413792
Help,end homelessness,New York,0.6
Help,end homelessness,North Carolina,0.3888888888888889
Help,end homelessness,North Dakota,0.0
Help,end homelessness,Ohio,0.5588235294117647
Help,end homelessness,Oklahoma,0.18421052631578946
Help,end homelessness,Oregon,0.325
Help,end homelessness,Pennsylvania,0.4594594594594595
Help,end homelessness,Rhode Island,1.4146341463414633
Help,end homelessness,South Carolina,0.24444444444444444
Help,end homelessness,South Dakota,0.9230769230769231
Help,end homelessness,Tennessee,0.3125
Help,end homelessness,Texas,0.30434782608695654
Help,end homelessness,Utah,0.5757575757575758
Help,end homelessness,Vermont,1.0625
Help,end homelessness,Virginia,0.5806451612903226
Help,end homelessness,Washington,0.47058823529411764
Help,end homelessness,West Virginia,1.8333333333333333
Help,end homelessness,Wisconsin,0.4358974358974359
Help,end homelessness,Wyoming,0.0
Help,what is homelessness,Alabama,1.0
Help,what is homelessness,Alaska,1.0
Help,what is homelessness,Arizona,1.0
Help,what is homelessness,Arkansas,1.0
Help,what is homelessness,California,1.0
Help,what is homelessness,Colorado,1.0
Help,what is homelessness,Connecticut,1.0
Help,what is homelessness,Delaware,1.0
Help,what is homelessness,District of Columbia,1.0
Help,what is homelessness,Florida,1.0
Help,what is homelessness,Georgia,1.0
Help,what is homelessness,Hawaii,1.0
Help,what is homelessness,Idaho,1.0
Help,what is homelessness,Illinois,1.0
Help,what is homelessness,Indiana,1.0
Help,what is homelessness,Iowa,1.0
Help,what is homelessness,Kansas,1.0
Help,what is homelessness,Kentucky,1.0
Help,what is homelessness,Louisiana,1.0
Help,what is homelessness,Maine,1.0
Help,what is homelessness,Maryland,1.0
Help,what is homelessness,Massachusetts,1.0
Help,what is homelessness,Michigan,1.0
Help,what is homelessness,Minnesota,1.0
Help,what is homelessness,Mississippi,1.0
Help,what is homelessness,Missouri,1.0
Help,what is homelessness,Montana,1.0
Help,what is homelessness,Nebraska,1.0
Help,what is homelessness,Nevada,1.0
Help,what is homelessness,New Hampshire,1.0
Help,what is homelessness,New Jersey,1.0
Help,what is homelessness,New Mexico,1.0
Help,what is homelessness,New York,1.0
Help,what is homelessness,North Carolina,1.0
Help,what is homelessness,North Dakota,1.0
Help,what is homelessness,Ohio,1.0
Help,what is homelessness,Oklahoma,1.0
Help,what is homelessness,Oregon,1.0
Help,what is homelessness,Pennsylvania,1.0
Help,what is homelessness,Rhode Island,1.0
Help,what is homelessness,South Carolina,1.0
Help,what is homelessness,South Dakota,1.0
Help,what is homelessness,Tennessee,1.0
Help,what is homelessness,Texas,1.0
Help,what is homelessness,Utah,1.0
Help,what is homelessness,Vermont,1.0
Help,what is homelessness,Virginia,1.0
Help,what is homelessness,Washington,1.0
Help,what is homelessness,West Virginia,1.0
Help,what is homelessness,Wisconsin,1.0
Help,what is homelessness,Wyoming,1.0
Need help,apply food stamps,Alabama,11.0
Need help,apply food stamps,Alaska,2.0
Need help,apply food stamps,Arizona,3.875
Need help,apply food stamps,Arkansas,8.0
Need help,apply food stamps,California,2.111111111111111
Need help,apply food stamps,Colorado,2.25
Need help,apply food stamps,Connecticut,6.8
Need help,apply food stamps,Delaware,3.625
Need help,apply food stamps,District of Columbia,2.857142857142857
Need help,apply food stamps,Florida,11.666666666666666
Need help,apply food stamps,Georgia,9.0
Need help,apply food stamps,Hawaii,0.9411764705882353
Need help,apply food stamps,Idaho,3.125
Need help,apply food stamps,Illinois,2.857142857142857
Need help,apply food stamps,Indiana,5.0
Need help,apply food stamps,Iowa,6.0
Need help,apply food stamps,Kansas,7.0
Need help,apply food stamps,Kentucky,5.0
Need help,apply food stamps,Louisiana,11.25
Need help,apply food stamps,Maine,2.25
Need help,apply food stamps,Maryland,5.166666666666667
Need help,apply food stamps,Massachusetts,3.0
Need help,apply food stamps,Michigan,3.8333333333333335
Need help,apply food stamps,Minnesota,2.3333333333333335
Need help,apply food stamps,Mississippi,7.8
Need help,apply food stamps,Missouri,6.2
Need help,apply food stamps,Montana,14.0
Need help,apply food stamps,Nebraska,2.5714285714285716
Need help,apply food stamps,Nevada,5.6
Need help,apply food stamps,New Hampshire,2.0
Need help,apply food stamps,New Jersey,4.666666666666667
Need help,apply food stamps,New Mexico,2.857142857142857
Need help,apply food stamps,New York,5.4
Need help,apply food stamps,North Carolina,6.0
Need help,apply food stamps,North Dakota,2.5714285714285716
Need help,apply food stamps,Ohio,5.4
Need help,apply food stamps,Oklahoma,4.833333333333333
Need help,apply food stamps,Oregon,2.6666666666666665
Need help,apply food stamps,Pennsylvania,4.5
Need help,apply food stamps,Rhode Island,2.3333333333333335
Need help,apply food stamps,South Carolina,7.0
Need help,apply food stamps,South Dakota,1.6666666666666667
Need help,apply food stamps,Tennessee,13.333333333333334
Need help,apply food stamps,Texas,5.5
Need help,apply food stamps,Utah,2.4285714285714284
Need help,apply food stamps,Vermont,1.2727272727272727
Need help,apply food stamps,Virginia,4.166666666666667
Need help,apply food stamps,Washington,3.0
Need help,apply food stamps,West Virginia,5.0
Need help,apply food stamps,Wisconsin,4.25
Need help,apply food stamps,Wyoming,20.0
Need help,homeless help,Alabama,3.75
Need help,homeless help,Alaska,1.7142857142857142
Need help,homeless help,Arizona,2.25
Need help,homeless help,Arkansas,3.75
Need help,homeless help,California,2.0
Need help,homeless help,Colorado,2.125
Need help,homeless help,Connecticut,2.8
Need help,homeless help,Delaware,2.0
Need help,homeless help,District of Columbia,2.142857142857143
Need help,homeless help,Florida,5.0
Need help,homeless help,Georgia,4.25
Need help,homeless help,Hawaii,1.0
Need help,homeless help,Idaho,1.75
Need help,homeless help,Illinois,2.5714285714285716
Need help,homeless help,Indiana,2.5
Need help,homeless help,Iowa,2.4
Need help,homeless help,Kansas,3.75
Need help,homeless help,Kentucky,3.8
Need help,homeless help,Louisiana,3.5
Need help,homeless help,Maine,2.5
Need help,homeless help,Maryland,2.3333333333333335
Need help,homeless help,Massachusetts,2.142857142857143
Need help,homeless help,Michigan,3.0
Need help,homeless help,Minnesota,3.1666666666666665
Need help,homeless help,Mississippi,3.6
Need help,homeless help,Missouri,3.6
Need help,homeless help,Montana,39.0
Need help,homeless help,Nebraska,2.2857142857142856
Need help,homeless help,Nevada,3.8
Need help,homeless help,New Hampshire,3.1666666666666665
Need help,homeless help,New Jersey,2.8333333333333335
Need help,homeless help,New Mexico,2.857142857142857
Need help,homeless help,New York,2.4
Need help,homeless help,North Carolina,2.3333333333333335
Need help,homeless help,North Dakota,2.142857142857143
