uri,cid,text,created_at,author_handle,author_did,keyword,search_query,collection_method,session_name,collected_at,lang,author_display_name,author_description,author_followers_count,author_following_count,author_posts_count,author_verified,author_created_at,author_avatar,author_banner,author_profile_fetched_at,author_account_age_days,author_posts_per_day,author_follower_following_ratio,author_influence_score,word_count,char_count,hashtag_count,mention_count,url_count,hashtags,mentions,urls,has_images,has_external_link,has_media,emotion_score,is_reply,content_analyzed_at,indexed_at,reply_count,repost_count,like_count,detected_location,location_indicators,location_confidence,keyword_matches,keyword_categories,collection_timestamp,text_length,has_location_data,has_keyword_matches,is_recent
at://did:plc:exnzbida4vm3bbpeofeay3qz/app.bsky.feed.post/3m2ncwwmrtv2s,bafyreiaskhoubttc7ikry27m4w3pl7jmiyrijqur5g4yjqgdnxrel4uen4,"Today, a coalition of Council Members, labor unions and advocates stood together to call out the misleading language of Mayor Adams’ Ballot Proposals 2, 3 and 4. 

These proposals would weaken communities’ power to get affordable housing, jobs, and neighborhood investments as part of development. ",2025-10-07T23:49:58.724Z,council.nyc.gov,did:plc:exnzbida4vm3bbpeofeay3qz,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:41.069601+00:00,en,New York City Council,"The New York City Council is the lawmaking body of NYC, led by @nycspeakeradams.bsky.social",4581,70,1052,False,2024-11-14T14:19:04.833Z,https://cdn.bsky.app/img/avatar/plain/did:plc:exnzbida4vm3bbpeofeay3qz/bafkreifqcgej4gf5a2xdtgz2ockgvjyk6p3sprw3poygpiqfsv2pbjxbim@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:exnzbida4vm3bbpeofeay3qz/bafkreihyekrzzufsifvrjyz3k4urqsrpx4e6qs33sanl5polhoyijwbcbm@jpeg,2025-10-08T17:13:41.069463+00:00,328,3.207317073170732,65.44285714285714,58.38,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:41.069591+00:00,2025-10-07T23:50:00.658Z,1,1,7,new york,"['ca', 'la', 'profile:new york', 'profile:la', 'profile:new york', 'profile:ny']",1.0,"['affordable housing', 'affordable housing', 'ca', 'la']","['core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078363+00:00,298,True,True,True
at://did:plc:ypaxc37i3cgxdhkrl3oydlie/app.bsky.feed.post/3m2ncvue7fs2i,bafyreihhy4qwasz4whxds5mkiemmjruiujwacrxt6nvjp36oe5bledbqky,Important to know: SFMTA's proposal to cut the possibility for ~350 affordable homes from the Potrero Yard project is *not* a final decision. There will be a development agreement the BOS votes on. The BOS can and should insist on keeping the affordable housing for their vote.,2025-10-07T23:49:22.971Z,graue.bsky.social,did:plc:ypaxc37i3cgxdhkrl3oydlie,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:41.224548+00:00,en,Scott Feeney,"car-free urbanist, socialist, semi-lapsed techie, gardener, guitar player. he/him

also on fedi https://carfree.city/@scott/
blog https://scott.mn",1787,651,4421,False,2023-07-24T21:09:25.254Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ypaxc37i3cgxdhkrl3oydlie/bafkreidvj73jefupaf4gdtfwhhj7qc2h2ioea5s6qwpugxqjai6n333uf4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ypaxc37i3cgxdhkrl3oydlie/bafkreifs7ipjkh6tez3w33uedatwvy3krzknngupsjr6khor6g6tvyjr2q@jpeg,2025-10-08T17:13:41.224402+00:00,806,5.4851116625310175,2.7450076804915513,34.54,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:41.224533+00:00,2025-10-07T23:49:23.462Z,1,1,9,ca,"['ca', 'sf', 'profile:ca', 'profile:la']",1.0,"['affordable housing', 'affordable housing', 'ca', 'sf']","['core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078422+00:00,277,True,True,True
at://did:plc:gvbo5cxa4luw5qm3hyuusn43/app.bsky.feed.post/3m2ncld23cc2z,bafyreiakswbjv2stwnmvjb4knoldimpbx6exwuqltsgliblqneu24tzgpe,"and it's not like seattle's streets are any safer.

we funnel 90% of dense affordable housing onto 4-7 lane stroads like this, often that bisect our 'urban villages'

most other countries do NOT do this sh*t!

bsky.app/profile/holz...",2025-10-07T23:43:29.269Z,holz-bau.bsky.social,did:plc:gvbo5cxa4luw5qm3hyuusn43,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:41.368338+00:00,en,Mike Eliason,"architect @ Larchlab.com (Seattle)

activist for: car-light climate adaptive cities w/ low carbon + passivhaus buildings, social housing

Author, 'Building for People' (Island Press, 12/2024: https://islandpress.org/books/building-people)",17090,876,11886,False,2023-10-03T15:53:13.056Z,https://cdn.bsky.app/img/avatar/plain/did:plc:gvbo5cxa4luw5qm3hyuusn43/bafkreicmfg4w6b4f53g7twbpzr7qiihiczxniw5v3hgtms4rgovkt5xa3m@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:gvbo5cxa4luw5qm3hyuusn43/bafkreiflxsq2cwx4uafd2mwbhd4hfs4ptyilw43idtj6wgdpxq7jlmhiae@jpeg,2025-10-08T17:13:41.368227+00:00,736,16.14945652173913,19.509132420091323,49.52,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:41.368329+00:00,2025-10-07T23:40:51.858Z,0,1,12,seattle,"['seattle', 'la', 'ny', 'seattle', 'profile:seattle', 'profile:ca', 'profile:la', 'profile:seattle']",1.0,"['affordable housing', 'affordable housing', 'seattle', 'la', 'ny', 'seattle']","['geographic', 'core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078472+00:00,234,True,True,True
at://did:plc:b7x3wf3xrg2aqzjxi7lvkqyw/app.bsky.feed.post/3m2nc6da5b22d,bafyreiddiuk6fzxcdxwj4pv6tzd5nwnjy4ejqlslq4lxgigbkyiatt2hwy,"will see a correction in the bloated budgets of police and the military. We spend a ridiculous amount of money on both AND IT DOESN’T MAKE US SAFER. Let’s use that money on things actually proven to solve the problems like universal healthcare, mental health services, affordable housing, etc etc",2025-10-07T23:36:12.969Z,andreamartinatx.bsky.social,did:plc:b7x3wf3xrg2aqzjxi7lvkqyw,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:41.594770+00:00,en,,"House mover, builder, creator of comfy spaces-mom to 4 Amazing Humans-Keeper of cats-Reluctant Spoonie-She/her-Love is Love🏳️‍🌈& 🏳️‍⚧️ally; None of us are free until all of us are free🇵🇸🇺🇦",5971,5940,3235,False,2024-11-12T09:35:43.804Z,https://cdn.bsky.app/img/avatar/plain/did:plc:b7x3wf3xrg2aqzjxi7lvkqyw/bafkreiflg6g4vzwkhd7qbndi67g2kcvd2h6rqrdymvnami2ii7bsx2ju7q@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:b7x3wf3xrg2aqzjxi7lvkqyw/bafkreifacr5ntdevak5dmhgzkq3dsv4evjjbrb7jgtzbtyb6zujstscahi@jpeg,2025-10-08T17:13:41.594605+00:00,330,9.803030303030303,1.0052188552188552,46.99,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:41.594754+00:00,2025-10-07T23:36:13.589Z,2,0,1,ca,"['ca', 'profile:ca']",0.8,"['affordable housing', 'affordable housing', 'ca']","['core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078530+00:00,296,True,True,True
at://did:plc:db3isn6lo3cel4wi6jsakh2a/app.bsky.feed.post/3m2nbvh4bgs2s,bafyreifnoner2gvlt7oi2in5gr6e6fvlgdaxqlzwxyqk6jwzq42hzf6ege,The need for affordable housing in Algoma is being addressed with the grand opening of a new apartment complex called Portside Lofts.  https://fox11online.com/news/local/algoma-wisconsin-apartments-portside-lofts-grand-opening-affordable-housing-commonwealth-construction-ribbon-cutting,2025-10-07T23:31:15.313354477Z,fox11news.bsky.social,did:plc:db3isn6lo3cel4wi6jsakh2a,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:41.735768+00:00,en,WLUK-TV FOX 11,"Your station for balanced news and severe weather coverage in #GreenBay, #Appleton, #Oshkosh and all of Northeast Wisconsin.",169,19,740,False,2024-11-13T17:09:48.187Z,https://cdn.bsky.app/img/avatar/plain/did:plc:db3isn6lo3cel4wi6jsakh2a/bafkreie35tbukbg5puqtlpg4kxvuzodpl2cfrqyj5zi7fi4a3tynervxsm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:db3isn6lo3cel4wi6jsakh2a/bafkreifq4mpsnmdlnzi7ft6oenjom6yclbtlifvx4kbihdtobk4j4vs4le@jpeg,2025-10-08T17:13:41.735707+00:00,329,2.2492401215805473,8.894736842105264,23.45,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:41.735763+00:00,2025-10-07T23:31:15.857Z,0,0,0,la,"['ca', 'profile:la']",0.8,"['affordable housing', 'affordable housing', 'ca']","['core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078578+00:00,286,True,True,True
at://did:plc:f4uz72wxjpztu3o27blzkqas/app.bsky.feed.post/3m2nbl4gbut2w,bafyreihqq4hprhuwksulfil5qrlvzrleuzjpgfbxb4dqnbzd4eoxntr6na,"🏘️ Two dozen affordable homes are coming to Columbia City near light rail.

The city awarded $3.1M to Homestead Community Land Trust and African Community Housing & Development to build permanent affordable housing along MLK Jr. Way S.

@mayatizon reports here: soseaem.org/4pXBcJa #SeattleNews",2025-10-07T23:25:27.357Z,soseaemerald.bsky.social,did:plc:f4uz72wxjpztu3o27blzkqas,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:41.881013+00:00,en,South Seattle Emerald,"Amplifying authentic narratives of the South End.
🌐 Read online: southseattleemerald.org
💸 Support our work: http://bit.ly/3Ex3XVQ
📧 Sign up for our newsletter: https://soseaem.org/WeeklyRoundup",2152,1,426,False,2024-11-13T17:38:50.777Z,https://cdn.bsky.app/img/avatar/plain/did:plc:f4uz72wxjpztu3o27blzkqas/bafkreidllxw2jna3nfgozucwbeub3wlzv4wzyjxdo2lbrx5gnxgjplp4sm@jpeg,,2025-10-08T17:13:41.880888+00:00,328,1.298780487804878,2152.0,58.59,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:41.881004+00:00,2025-10-07T23:25:29.261Z,0,0,9,seattle,"['seattle', 'ca', 'la', 'seattle', 'profile:seattle', 'profile:seattle']",1.0,"['affordable housing', 'affordable housing', 'seattle', 'ca', 'la', 'seattle']","['geographic', 'core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078636+00:00,294,True,True,True
at://did:plc:ypaxc37i3cgxdhkrl3oydlie/app.bsky.feed.post/3m2nayxjpsc2i,bafyreihq4txs6nro3wxie5jwic47okrjm4gl2ru34mfxyahnrs2hoglhgu,"SFMTA represented it as a ""cost savings"" not to build a podium (thus making housing above the yard impossible). But it isn't a savings when we don't get the 350 units of needed affordable housing. Siloed thinking - and likely laundering Lurie's lack of interest in funding the housing",2025-10-07T23:15:19.477Z,graue.bsky.social,did:plc:ypaxc37i3cgxdhkrl3oydlie,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:41.881094+00:00,en,Scott Feeney,"car-free urbanist, socialist, semi-lapsed techie, gardener, guitar player. he/him

also on fedi https://carfree.city/@scott/
blog https://scott.mn",1787,651,4421,False,2023-07-24T21:09:25.254Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ypaxc37i3cgxdhkrl3oydlie/bafkreidvj73jefupaf4gdtfwhhj7qc2h2ioea5s6qwpugxqjai6n333uf4@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ypaxc37i3cgxdhkrl3oydlie/bafkreifs7ipjkh6tez3w33uedatwvy3krzknngupsjr6khor6g6tvyjr2q@jpeg,2025-10-08T17:13:41.224402+00:00,806,5.4851116625310175,2.7450076804915513,34.54,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:41.881088+00:00,2025-10-07T23:15:20.162Z,2,1,12,ca,"['la', 'sf', 'profile:ca', 'profile:la']",1.0,"['affordable housing', 'affordable housing', 'la', 'sf']","['core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078682+00:00,284,True,True,True
at://did:plc:32dnyjpdqwdfhcx5evu6lb2p/app.bsky.feed.post/3m2nap7izzs2f,bafyreia7u344oj6ys4zdwkknkrcxuh3tjiw45zhpab65q3xik6c6lukzhm,"New planning changes give councils extra powers to seize land for affordable housing and prioritise local needs over investors. 

Should local councils be powerless while investors hoard land and push locals out?
www.theguardian.com/politics/202...",2025-10-07T23:09:45.205Z,dailyherald.bsky.social,did:plc:32dnyjpdqwdfhcx5evu6lb2p,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:42.117845+00:00,en,Daily Herald #FBPE #NAFO,"This platform comments on current affairs. We support the #Labour Party 🌹, #Liberty 🗽, #Equality ⚖️, and #Prosperity 💸. Facebook: http://facebook.com/DAILYHERA/ X: https://x.com/DailyHerald12?s=09",2465,4648,7712,False,2025-02-09T13:47:47.543Z,https://cdn.bsky.app/img/avatar/plain/did:plc:32dnyjpdqwdfhcx5evu6lb2p/bafkreiajttkkgi5ry4k7b2tynr6l4yk7b7xsdn4zhedtfaxdmp2tsmh3lu@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:32dnyjpdqwdfhcx5evu6lb2p/bafkreiabq7vr3rtqydqtxx3yozbyoviqwixfsm6t4hxj4v7sen5y7nhtbm@jpeg,2025-10-08T17:13:42.117753+00:00,241,32.0,0.5303356282271945,35.52,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:42.117836+00:00,2025-10-07T23:09:55.370Z,2,0,2,la,"['ca', 'la', 'profile:la']",1.0,"['affordable housing', 'affordable housing', 'ca', 'la']","['core_terms', 'housing_types', 'profile_locations']",2025-10-08T17:13:52.078734+00:00,248,True,True,True
at://did:plc:y3ofujsjy37rw4kk24e7qpx5/app.bsky.feed.post/3m2nafk7bjc22,bafyreifkvt4yuiigyt3xvsn3rxpiuls45e5sapg3j6aie3cuy7phgg4z5y,"Medium projects-
Alex West Rec Center
Alex Community Shelter
Affordable Housing

Small-
Ewald Park
Holmes Run Trail
200 block King St.
IT
Gadsby’s Interior",2025-10-07T23:04:27.968Z,nradshaw.bsky.social,did:plc:y3ofujsjy37rw4kk24e7qpx5,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:42.262987+00:00,en,Nicole Radshaw,"Mama of two. Teacher. Amateur plant grower and sewist. Passionate about mind-body awareness, maternal health, Caps hockey, WNBA, and our earth. Streets are for people. Ride more bikes. 
She/Her",986,389,1202,False,2023-08-08T13:04:24.972Z,https://cdn.bsky.app/img/avatar/plain/did:plc:y3ofujsjy37rw4kk24e7qpx5/bafkreief5u5bjus64p2mms3bc2qnhsrmdw6ngwpjykvkfprvfsxqe7gbsi@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:y3ofujsjy37rw4kk24e7qpx5/bafkreieihns7axt3wepbq4n7ml5wsrkmahefq754aklaxn4eh2jgjr3dtm@jpeg,2025-10-08T17:13:42.262880+00:00,792,1.5176767676767677,2.5347043701799485,34.04,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:42.262979+00:00,2025-10-07T23:04:28.357Z,0,0,0,ca,"['profile:ca', 'profile:la']",1.0,"['affordable housing', 'affordable housing']","['core_terms', 'housing_types']",2025-10-08T17:13:52.078777+00:00,155,True,True,True
at://did:plc:ck7aajho5ziqo6lrs64rm4oc/app.bsky.feed.post/3m2n7yitz2n2y,bafyreifhkw4pv2kxaqbhdn3txugvst2j3n5cqsa4vwlfjbw3adgssqupqe,Zohran Mamdani still mum on affordable housing ballot proposals,2025-10-07T22:57:10.298Z,nypost.com,did:plc:ck7aajho5ziqo6lrs64rm4oc,affordable housing,affordable housing,search,socmed_search_60min,2025-10-08T17:13:42.404160+00:00,en,New York Post ,,2886,4,67126,False,2024-12-03T17:07:00.945Z,https://cdn.bsky.app/img/avatar/plain/did:plc:ck7aajho5ziqo6lrs64rm4oc/bafkreidiskj7ofw6y7wdvzqtkt4woyd35sgapyfxkl53nmd7okjbsfcdpm@jpeg,https://cdn.bsky.app/img/banner/plain/did:plc:ck7aajho5ziqo6lrs64rm4oc/bafkreih6mftrkzz3pezhgad2iha7xi5nojyhqwteqkb5n3ija6wclyfdvu@jpeg,2025-10-08T17:13:42.404066+00:00,309,217.23624595469255,721.5,34.82,0,0,0,0,0,[],[],[],False,False,False,0,False,2025-10-08T17:13:42.404151+00:00,2025-10-07T22:57:10.957Z,0,1,0,,[],0.0,"['affordable housing', 'affordable housing']","['core_terms', 'housing_types']",2025-10-08T17:13:52.078798+00:00,63,False,True,True
